"Blast-Off Blue","blast-off-blue","#4c6393"
"Leaded Bronze Met.","mp20149","#af9e89"
"Light Taupe Met.","mp20060","#c9bfa7"
"Marrone Met.","mp28919","#d0c2ac"
"Minoan Bronze Met.","mp20191","#7c665c"
"Mist Grey Met.","mp20044","#b6af9c"
"Misty Heather Met.","mp20031","#b3a29d"
"Mt. Sinai Bronze","mp11663","#a39783"
"Nouveau Bronze Met.","mp20162","#80655c"
"Old Gold Met.","mp20138","#b09a80"
"Pale Bronze Met.","mp27916","#b7b0a2"
"Patinated Bronze Met.","mp20306","#312222"
"Pearl Silver Met.","mp20082","#c7bda3"
"Pewter Tankard Met.","mp20087","#a19192"
"Phosphor Bronze Met.","mp20304","#6a554d"
"Platinum Met.","mp20083","#c1b7aa"
"Pumice Met.","mp20037","#bbb2aa"
"Remington Bronze Met.","mp20153","#653c2d"
"Russell Bronze Met.","mp20182","#7b6566"
"Sandalwood Met.","mp20051","#c8b99b"
"Shadow Bronze Met.","mp20148","#9f8e7a"
"Sparkle Bronze Met.","mp20184","#7b665f"
"Statuary Bronze Met.","mp20158","#85655c"
"Taunton Taupe Met.","mp20145","#c6b79d"
"Touch Of Taupe Met.","mp20088","#aea58e"
"Warm Gray Met.","mp20186","#93897e"
"Weathered Bronze Met.","mp20155","#775b4a"
"Yuma Tan Met.","mp20085","#b2a796"
"American Blue","mp28073","#005886"
"Amethyst Violet","mp25542","#693e82"
"Anodic Black","mp41335sp","#25161d"
"Apricot","mp29496","#ee9a70"
"Aztec Copper","mp46402sp","#c6694b"
"Aztec Gold","mp46401sp","#d99c52"
"Baby Blue Metallic","mp45612","#8e9cc2"
"Balsam Green Metallic","mp27540","#005f4b"
"Bayou Blue","mp25771","#387472"
"Bicycle Blue","mp25808","#355284"
"Blue Smoke","mp56851","#798fa1"
"Bluest Blue","mp55697","#0d3765"
"Bluetooth","mp55795","#373552"
"Bone White","mp25833","#f9efd1"
"Bright Orange","mp23906","#e67215"
"Brilliant Gold","mp46400sp","#f0dbaa"
"Brushed Aluminum","mp41342sp","#bbbbbf"
"Burgundy Maroon","mp42215sp","#64052b"
"Burgundy Metallic","mp19757","#79413f"
"Cabot Trail","mp12257","#9c877c"
"Canterbury Cream","mp25900","#fce5b6"
"Capri Blue","mp42219sp","#001e6d"
"Cerise Lipstick","mp26452","#b11e60"
"Champagne Grey Metallic","mp16771","#a59e8e"
