"Scala 75-06-21","scala-75-06-21","#76817f"
"Scala 75-06-24","scala-75-06-24","#5e6968"
"Scala 75-06-27","scala-75-06-27","#475152"
"Scala 75-09-21","scala-75-09-21","#6e837e"
"Scala 75-09-24","scala-75-09-24","#566a66"
"Scala 75-09-27","scala-75-09-27","#2d4744"
"Scala 75-09-30","scala-75-09-30","#223532"
"Scala 75-12-21","scala-75-12-21","#5e8987"
"Scala 75-12-24","scala-75-12-24","#496f6e"
"Scala 75-12-27","scala-75-12-27","#214b4a"
"Scala 75-15-21","scala-75-15-21","#4c8880"
"Scala 75-15-24","scala-75-15-24","#456f69"
"Scala 75-15-27","scala-75-15-27","#2f5554"
"Scala 75-18-21","scala-75-18-21","#009788"
"Scala 75-18-24","scala-75-18-24","#007a72"
"Scala 75-18-27","scala-75-18-27","#00605a"
"Scala 75-21-24","scala-75-21-24","#006f5e"
"Scala 78-01-21","scala-78-01-21","#757978"
"Scala 78-01-24","scala-78-01-24","#626665"
"Scala 78-01-27","scala-78-01-27","#4f5252"
"Scala 78-01-30","scala-78-01-30","#434645"
"Scala 78-01-33","scala-78-01-33","#303534"
"Scala 78-03-21","scala-78-03-21","#6d8078"
"Scala 78-03-24","scala-78-03-24","#55655f"
"Scala 78-03-27","scala-78-03-27","#3b4f4d"
"Scala 78-03-30","scala-78-03-30","#3b4745"
"Scala 78-06-21","scala-78-06-21","#488a6e"
"Scala 78-06-24","scala-78-06-24","#417763"
"Scala 78-06-27","scala-78-06-27","#38594b"
"Scala 78-06-30","scala-78-06-30","#284438"
"Scala 78-09-21","scala-78-09-21","#5a8671"
"Scala 78-09-24","scala-78-09-24","#476e5d"
"Scala 78-12-21","scala-78-12-21","#00947e"
"Scala 78-12-24","scala-78-12-24","#007764"
"Scala 78-12-27","scala-78-12-27","#006152"
"Scala 78-15-21","scala-78-15-21","#478e78"
"Scala 78-15-24","scala-78-15-24","#2c705d"
"Scala 78-15-27","scala-78-15-27","#19584d"
"Scala 78-18-21","scala-78-18-21","#009673"
"Scala 78-18-24","scala-78-18-24","#007c59"
"Scala 81-03-21","scala-81-03-21","#757d77"
"Scala 81-03-24","scala-81-03-24","#626b66"
"Scala 81-03-27","scala-81-03-27","#48534f"
"Scala 81-03-30","scala-81-03-30","#383f3d"
"Scala 81-03-33","scala-81-03-33","#222e2e"
"Scala 81-06-21","scala-81-06-21","#6e7d6d"
"Scala 81-06-24","scala-81-06-24","#536353"
"Scala 81-06-27","scala-81-06-27","#475147"
"Scala 81-06-30","scala-81-06-30","#323f37"
"Scala 81-06-33","scala-81-06-33","#2a3731"
"Scala 81-09-21","scala-81-09-21","#638269"
"Scala 81-09-24","scala-81-09-24","#47654f"
"Scala 81-09-27","scala-81-09-27","#395443"
