"orchidee 1","orchidee-1","#883854"
"peppermint 3","peppermint-3","#007b64"
"peppermint 4","peppermint-4","#00a58b"
"peppermint 5","peppermint-5","#00a98f"
"peppermint 6","peppermint-6","#33c3ac"
"peppermint 7","peppermint-7","#00b39a"
"peppermint 8","peppermint-8","#56d2be"
"peppermint 9","peppermint-9","#79dcca"
"peppermint 10","peppermint-10","#aeecdf"
"peppermint 11","peppermint-11","#94e4d6"
"peppermint 12","peppermint-12","#c3f2e7"
"peppermint 13","peppermint-13","#d3f6ec"
"peppermint 14","peppermint-14","#e7f9f0"
"coffee 1","coffee-1","#585147"
"coffee 2","coffee-2","#696156"
"coffee 3","coffee-3","#625a51"
"coffee 4","coffee-4","#786f64"
"coffee 5","coffee-5","#7f766b"
"coffee 6","coffee-6","#9a9186"
"coffee 7","coffee-7","#887f74"
"coffee 8","coffee-8","#aaa299"
"coffee 9","coffee-9","#bdb6ac"
"coffee 10","coffee-10","#dad5cc"
"coffee 11","coffee-11","#ccc5bc"
"coffee 12","coffee-12","#e4e0d7"
"coffee 13","coffee-13","#eceae2"
"coffee 14","coffee-14","#f2f1e9"
"lava 1","lava-1","#524f4a"
"lava 2","lava-2","#524f4a"
"lava 3","lava-3","#71706a"
"lava 4","lava-4","#81817a"
"lava 5","lava-5","#a5a59f"
"curacao 1","curacao-1","#d7d7d1"
"curacao 2","curacao-2","#2d4f53"
"curacao 3","curacao-3","#007575"
"curacao 4","curacao-4","#006667"
"curacao 5","curacao-5","#008989"
"curacao 6","curacao-6","#008f8f"
"curacao 7","curacao-7","#21adae"
"curacao 8","curacao-8","#009c9d"
"curacao 9","curacao-9","#49bdbf"
"curacao 10","curacao-10","#6ccacc"
"curacao 11","curacao-11","#a7e3e3"
"curacao 12","curacao-12","#8cd8da"
"curacao 13","curacao-13","#bdebeb"
"curacao 14","curacao-14","#cef2f1"
"olive 1","olive-1","#dcf6f3"
"olive 2","olive-2","#7f8f39"
"olive 3","olive-3","#97a44c"
"olive 4","olive-4","#8b9944"
"olive 5","olive-5","#a7b15c"
"olive 6","olive-6","#aab45f"
"olive 7","olive-7","#bfc67b"
"olive 8","olive-8","#ccd18f"
"olive 9","olive-9","#d9dda5"
"olive 10","olive-10","#eceeca"
"olive 11","olive-11","#e3e7b9"
"olive 12","olive-12","#f1f2d7"
"olive 13","olive-13","#f6f7e3"
"olive 14","olive-14","#f9f9e9"
"blueberry 1","blueberry-1","#3c4067"
"blueberry 2","blueberry-2","#245b95"
"blueberry 3","blueberry-3","#2c4f85"
"blueberry 4","blueberry-4","#1f6ba8"
"blueberry 5","blueberry-5","#1f73b0"
"blueberry 6","blueberry-6","#2c8ec8"
"blueberry 7","blueberry-7","#1d7ebb"
"blueberry 8","blueberry-8","#409fd5"
"blueberry 9","blueberry-9","#60b2e2"
"blueberry 10","blueberry-10","#93cff0"
"blueberry 11","blueberry-11","#7ac1e8"
"blueberry 12","blueberry-12","#acdbf2"
"blueberry 13","blueberry-13","#c0e3f3"
"blueberry 14","blueberry-14","#dbf0f5"
"alovera 1","alovera-1","#33554d"
"alovera 2","alovera-2","#347567"
"alovera 3","alovera-3","#34695d"
"alovera 4","alovera-4","#3e8677"
"alovera 5","alovera-5","#418d7d"
"alovera 6","alovera-6","#5daa9b"
"alovera 7","alovera-7","#499687"
"alovera 8","alovera-8","#75bcae"
"alovera 9","alovera-9","#8fcdc1"
"alovera 10","alovera-10","#bbe5dc"
"alovera 11","alovera-11","#a6dad0"
"alovera 12","alovera-12","#ccece4"
"alovera 13","alovera-13","#d9f2eb"
"alovera 14","alovera-14","#e5f6ee"
"enzian 1","enzian-1","#3e3c5c"
"enzian 2","enzian-2","#3e4d84"
"enzian 3","enzian-3","#3c4374"
"enzian 4","enzian-4","#415b98"
"enzian 5","enzian-5","#4161a1"
"enzian 6","enzian-6","#4b79bb"
"enzian 7","enzian-7","#4368ab"
"enzian 8","enzian-8","#5c8ecb"
"enzian 9","enzian-9","#70a1d9"
"enzian 10","enzian-10","#a0c6ec"
"enzian 11","enzian-11","#8ab5e3"
"enzian 12","enzian-12","#b4d4ee"
"enzian 13","enzian-13","#c6dff3"
"enzian 14","enzian-14","#dcecf4"
"eucalypto 1","eucalypto-1","#3b5157"
"eucalypto 2","eucalypto-2","#43656d"
"eucalypto 3","eucalypto-3","#405c64"
"eucalypto 4","eucalypto-4","#48717c"
"eucalypto 5","eucalypto-5","#4a7680"
"eucalypto 6","eucalypto-6","#64929e"
"eucalypto 7","eucalypto-7","#53818c"
"eucalypto 8","eucalypto-8","#78a5b2"
"eucalypto 9","eucalypto-9","#8fb8c3"
"eucalypto 10","eucalypto-10","#bad6dd"
"eucalypto 11","eucalypto-11","#a5c8d1"
"eucalypto 12","eucalypto-12","#cce2e6"
"eucalypto 13","eucalypto-13","#d9e9ec"
"eucalypto 14","eucalypto-14","#e6f1f0"
"lavendel 1","lavendel-1","#443d49"
"lavendel 2","lavendel-2","#514376"
"lavendel 3","lavendel-3","#4b3d66"
"lavendel 4","lavendel-4","#5b4b8c"
"lavendel 5","lavendel-5","#615093"
"lavendel 6","lavendel-6","#7b6bb4"
"lavendel 7","lavendel-7","#6a59a1"
"lavendel 8","lavendel-8","#8d7ec3"
"lavendel 9","lavendel-9","#9f92d1"
"lavendel 10","lavendel-10","#c3b9e6"
"lavendel 11","lavendel-11","#b2a6db"
"lavendel 12","lavendel-12","#d1c9ea"
"lavendel 13","lavendel-13","#ddd6ef"
"lavendel 14","lavendel-14","#ebe8f2"
"plum 1","plum-1","#40485c"
"plum 2","plum-2","#445973"
"plum 3","plum-3","#45536a"
"plum 4","plum-4","#486683"
"plum 5","plum-5","#4b6b89"
"plum 6","plum-6","#5c85a5"
"plum 7","plum-7","#4f7392"
"plum 8","plum-8","#6e97b6"
"plum 9","plum-9","#86acc8"
"plum 10","plum-10","#b3cfe1"
"plum 11","plum-11","#9ec0d7"
"plum 12","plum-12","#c4dbe7"
"plum 13","plum-13","#d4e6ee"
"plum 14","plum-14","#dfecf0"
"aubergine 1","aubergine-1","#4e3b50"
"aubergine 2","aubergine-2","#674578"
"aubergine 3","aubergine-3","#60426d"
"aubergine 4","aubergine-4","#764e8b"
"aubergine 5","aubergine-5","#7e5693"
"aubergine 6","aubergine-6","#9a71b1"
"aubergine 7","aubergine-7","#88609f"
"aubergine 8","aubergine-8","#ac86c1"
"aubergine 9","aubergine-9","#be9bd1"
"aubergine 10","aubergine-10","#d9c2e5"
"aubergine 11","aubergine-11","#cdb0db"
"aubergine 12","aubergine-12","#e4d1ea"
"aubergine 13","aubergine-13","#eadcee"
"aubergine 14","aubergine-14","#f0e5ee"
"crocus 1","crocus-1","#4a4153"
"crocus 2","crocus-2","#4e4a6a"
"crocus 3","crocus-3","#4a455f"
"crocus 4","crocus-4","#545379"
"crocus 5","crocus-5","#5b5a82"
"crocus 6","crocus-6","#6f719e"
"crocus 7","crocus-7","#62638c"
"crocus 8","crocus-8","#8487b2"
"crocus 9","crocus-9","#999cc4"
"crocus 10","crocus-10","#bec1dd"
"crocus 11","crocus-11","#adb0d2"
"crocus 12","crocus-12","#cccfe2"
"crocus 13","crocus-13","#d9dceb"
"crocus 14","crocus-14","#e3e5ed"
