"S 5020-Y40R","s-5020-y40r","#926f55"
"S 6020-Y40R","s-6020-y40r","#7b5841"
"S 7020-Y40R","s-7020-y40r","#61412d"
"S 0530-Y40R","s-0530-y40r","#ffc695"
"S 1030-Y40R","s-1030-y40r","#f4bb8b"
"S 2030-Y40R","s-2030-y40r","#d69f76"
"S 3030-Y40R","s-3030-y40r","#be8a63"
"S 4030-Y40R","s-4030-y40r","#a67451"
"S 5030-Y40R","s-5030-y40r","#8d5f3f"
"S 6030-Y40R","s-6030-y40r","#764b2f"
"S 0540-Y40R","s-0540-y40r","#ffb77c"
"S 1040-Y40R","s-1040-y40r","#f1ab73"
"S 2040-Y40R","s-2040-y40r","#da9562"
"S 3040-Y40R","s-3040-y40r","#bc7d51"
"S 3050-Y40R","s-3050-y40r","#bb7541"
"S 4040-Y40R","s-4040-y40r","#a1673e"
"S 4050-Y40R","s-4050-y40r","#9f5c2f"
"S 5040-Y40R","s-5040-y40r","#8d562f"
"S 0550-Y40R","s-0550-y40r","#fea766"
"S 1050-Y40R","s-1050-y40r","#f09e60"
"S 1060-Y40R","s-1060-y40r","#ed904b"
"S 2050-Y40R","s-2050-y40r","#d78a50"
"S 2060-Y40R","s-2060-y40r","#d07b3c"
"S 3060-Y40R","s-3060-y40r","#b4662f"
"S 3560-Y40R","s-3560-y40r","#a75c23"
"S 4550-Y40R","s-4550-y40r","#955229"
"S 0560-Y40R","s-0560-y40r","#ffa359"
"S 0570-Y40R","s-0570-y40r","#fc913f"
"S 0580-Y40R","s-0580-y40r","#fa841b"
"S 0585-Y40R","s-0585-y40r","#f77d00"
"S 1070-Y40R","s-1070-y40r","#ed8735"
"S 1080-Y40R","s-1080-y40r","#e4750e"
"S 2070-Y40R","s-2070-y40r","#ce7028"
"S 2570-Y40R","s-2570-y40r","#c16722"
"S 0502-Y50R","s-0502-y50r","#f4eee6"
"S 0505-Y50R","s-0505-y50r","#f6e8d6"
"S 0804-Y50R","s-0804-y50r","#efe4d6"
"S 0907-Y50R","s-0907-y50r","#eedcca"
"S 1002-Y50R","s-1002-y50r","#e7e2d9"
"S 1502-Y50R","s-1502-y50r","#d8d3cb"
"S 1005-Y50R","s-1005-y50r","#e7dacb"
"S 1505-Y50R","s-1505-y50r","#dbcec0"
"S 2005-Y50R","s-2005-y50r","#cac0b3"
"S 1005-Y50R","s-1005-y50r","#e5d8c9"
"S 2005-Y50R","s-2005-y50r","#cbc1b4"
"S 3005-Y50R","s-3005-y50r","#b4a89b"
"S 4005-Y50R","s-4005-y50r","#a09489"
"S 5005-Y50R","s-5005-y50r","#8d8178"
"S 6005-Y50R","s-6005-y50r","#7a6d63"
"S 7005-Y50R","s-7005-y50r","#635950"
"S 8005-Y50R","s-8005-y50r","#4b4037"
"S 0510-Y50R","s-0510-y50r","#fbe5cf"
"S 1010-Y50R","s-1010-y50r","#ebd2bb"
"S 2010-Y50R","s-2010-y50r","#d2b9a4"
"S 3010-Y50R","s-3010-y50r","#bda693"
"S 4010-Y50R","s-4010-y50r","#a89181"
"S 5010-Y50R","s-5010-y50r","#907a6b"
"S 6010-Y50R","s-6010-y50r","#796457"
"S 7010-Y50R","s-7010-y50r","#675144"
"S 8010-Y50R","s-8010-y50r","#4b382d"
"S 0515-Y50R","s-0515-y50r","#fad6bb"
"S 1015-Y50R","s-1015-y50r","#efccb2"
"S 1515-Y50R","s-1515-y50r","#e1bea4"
"S 1510-Y50R","s-1510-y50r","#e0c7b2"
"S 2010-Y50R","s-2010-y50r","#d2b9a4"
"S 3010-Y50R","s-3010-y50r","#bda693"
"S 5010-Y50R","s-5010-y50r","#917b6c"
"S 6010-Y50R","s-6010-y50r","#7a6659"
"S 0520-Y50R","s-0520-y50r","#fdcfb0"
"S 1020-Y50R","s-1020-y50r","#f1c4a5"
"S 2020-Y50R","s-2020-y50r","#d4a98d"
"S 3020-Y50R","s-3020-y50r","#c3987e"
"S 4020-Y50R","s-4020-y50r","#a88068"
"S 5020-Y50R","s-5020-y50r","#926d57"
"S 6020-Y50R","s-6020-y50r","#7b5742"
"S 7020-Y50R","s-7020-y50r","#63402f"
"S 0530-Y50R","s-0530-y50r","#ffc098"
"S 1030-Y50R","s-1030-y50r","#f5b58e"
"S 2030-Y50R","s-2030-y50r","#d99c78"
"S 3030-Y50R","s-3030-y50r","#be8565"
"S 4030-Y50R","s-4030-y50r","#a57053"
"S 5030-Y50R","s-5030-y50r","#8d5d43"
"S 6030-Y50R","s-6030-y50r","#74452b"
"S 0540-Y50R","s-0540-y50r","#ffb081"
"S 1040-Y50R","s-1040-y50r","#f5a777"
"S 2040-Y50R","s-2040-y50r","#d68e64"
"S 3040-Y50R","s-3040-y50r","#ba7751"
"S 3050-Y50R","s-3050-y50r","#b46940"
"S 4040-Y50R","s-4040-y50r","#a36441"
"S 4050-Y50R","s-4050-y50r","#9b5630"
"S 5040-Y50R","s-5040-y50r","#894e30"
"S 0550-Y50R","s-0550-y50r","#fda16d"
"S 0560-Y50R","s-0560-y50r","#fd955c"
"S 1050-Y50R","s-1050-y50r","#f19a66"
"S 1060-Y50R","s-1060-y50r","#ec8852"
"S 2050-Y50R","s-2050-y50r","#d48255"
"S 2060-Y50R","s-2060-y50r","#cb713e"
"S 3060-Y50R","s-3060-y50r","#b15f30"
"S 3560-Y50R","s-3560-y50r","#a25328"
"S 4550-Y50R","s-4550-y50r","#8e4c2a"
"S 0560-Y50R","s-0560-y50r","#fe965d"
"S 0570-Y50R","s-0570-y50r","#f58342"
"S 0580-Y50R","s-0580-y50r","#f97928"
"S 0585-Y50R","s-0585-y50r","#f67310"
"S 1070-Y50R","s-1070-y50r","#e97a3a"
"S 1080-Y50R","s-1080-y50r","#e36b1d"
"S 2070-Y50R","s-2070-y50r","#ca662e"
"S 2570-Y50R","s-2570-y50r","#ba5c24"
"S 0505-Y60R","s-0505-y60r","#f9ecdf"
"S 0507-Y60R","s-0507-y60r","#fae7d7"
"S 0510-Y60R","s-0510-y60r","#fde4d2"
"S 1010-Y60R","s-1010-y60r","#e9d1be"
"S 0603-Y60R","s-0603-y60r","#f4ece2"
"S 1005-Y60R","s-1005-y60r","#e7dace"
"S 1505-Y60R","s-1505-y60r","#d9cec2"
"S 2005-Y60R","s-2005-y60r","#cdc2b7"
"S 0515-Y60R","s-0515-y60r","#fcd9c3"
"S 1015-Y60R","s-1015-y60r","#edcbb5"
"S 1515-Y60R","s-1515-y60r","#dfbda8"
"S 1510-Y60R","s-1510-y60r","#dcc6b4"
"S 2010-Y60R","s-2010-y60r","#d0b8a8"
"S 3010-Y60R","s-3010-y60r","#b8a091"
"S 0520-Y60R","s-0520-y60r","#fed0b5"
"S 1020-Y60R","s-1020-y60r","#eabfa5"
"S 2020-Y60R","s-2020-y60r","#d0a891"
"S 3020-Y60R","s-3020-y60r","#bb937e"
"S 4020-Y60R","s-4020-y60r","#a67d69"
"S 5020-Y60R","s-5020-y60r","#916a57"
"S 6020-Y60R","s-6020-y60r","#795544"
"S 7020-Y60R","s-7020-y60r","#624132"
"S 0530-Y60R","s-0530-y60r","#fdbc9b"
"S 1030-Y60R","s-1030-y60r","#efb192"
"S 2030-Y60R","s-2030-y60r","#d89b7e"
"S 3030-Y60R","s-3030-y60r","#be856b"
"S 4030-Y60R","s-4030-y60r","#a36d54"
"S 5030-Y60R","s-5030-y60r","#8b5842"
"S 6030-Y60R","s-6030-y60r","#70412e"
"S 0540-Y60R","s-0540-y60r","#fbaa86"
"S 1040-Y60R","s-1040-y60r","#f0a37f"
"S 2040-Y60R","s-2040-y60r","#d48a69"
"S 3040-Y60R","s-3040-y60r","#bb7657"
"S 3050-Y60R","s-3050-y60r","#b36544"
"S 4040-Y60R","s-4040-y60r","#a15f44"
"S 4050-Y60R","s-4050-y60r","#9a5134"
"S 4550-Y60R","s-4550-y60r","#8a4528"
"S 5040-Y60R","s-5040-y60r","#834933"
"S 0550-Y60R","s-0550-y60r","#f99a72"
"S 1050-Y60R","s-1050-y60r","#ec8e67"
"S 1060-Y60R","s-1060-y60r","#e78057"
"S 2050-Y60R","s-2050-y60r","#d07b57"
"S 2060-Y60R","s-2060-y60r","#cb6b43"
"S 3060-Y60R","s-3060-y60r","#b05934"
"S 3560-Y60R","s-3560-y60r","#9d4b2a"
"S 0560-Y60R","s-0560-y60r","#fc8f62"
"S 0570-Y60R","s-0570-y60r","#f57c48"
"S 0580-Y60R","s-0580-y60r","#ed6727"
"S 0585-Y60R","s-0585-y60r","#ed601e"
"S 1070-Y60R","s-1070-y60r","#e37141"
