"Crashing Waves","DE5810","#3e6f87"
"Summer Night","DE5811","#36576a"
"Dreamy Blue","DE5812","#d7e6ee"
"Two Harbors","DE5813","#bed3e1"
"Anchors Away","DE5814","#9ebbcd"
"Frozen Lake","DE5815","#7b9cb3"
"Seal Pup","DE5816","#65869b"
"Stormy Sea","DE5817","#4a657a"
"Midnight Haze","DE5818","#3e505f"
"Pearl City","DE5819","#dce4e9"
"Polished Silver","DE5820","#c5d1da"
"Overcast Sky","DE5821","#a7b8c4"
"Silver Storm","DE5822","#8599a8"
"Mica Creek","DE5823","#70828f"
"Outer Space","DE5824","#53626e"
"Deepest Sea","DE5825","#444d56"
"Frosty Day","DE5826","#ccebf5"
"Spring Shower","DE5827","#abdcee"
"Winter Chime","DE5828","#83c7df"
"Frozen Wave","DE5829","#56acca"
"Mediterranean Sea","DE5830","#1e8cab"
"Teal Tune","DE5831","#02708c"
"Navy Teal","DE5832","#20576e"
"Teardrops","DE5833","#d0eefb"
"Azure Sky","DE5834","#b0e0f6"
"Below Zero","DE5835","#87cded"
"Sail Away","DE5836","#55b4de"
"Pool Party","DE5837","#0098c8"
"Summer Lake","DE5838","#0077a7"
"Ink Blotch","DE5839","#00608b"
"Ice Castle","DE5840","#d5edfb"
"Arctic Paradise","DE5841","#b8dff8"
"Light Azure","DE5842","#92cbf1"
"Sanctuary Spa","DE5843","#66b2e4"
"Splish Splash","DE5844","#3194ce"
"Americana ","DE5845","#0477b4"
"Lapis","DE5846","#165d95"
"Ice Fishing","DE5847","#dcecf5"
"Island View","DE5848","#c3ddee"
"January Frost","DE5849","#99c1dc"
"Wandering River","DE5850","#73a4c6"
"Blueberry Muffin","DE5851","#5588ab"
"Rainy Lake","DE5852","#3f6c8f"
"Blue Earth","DE5853","#375673"
"Fresh Water","DE5854","#c6e3f7"
"Wild Blue Yonder","DE5855","#b3d9f3"
"Astral","DE5856","#8ec2e7"
"Marina","DE5857","#65a5d5"
"Walker Lake","DE5858","#3d87bb"
"The Blues","DE5859","#296a9d"
"Slumber","DE5860","#2d517c"
"Cloudless","DE5861","#d6eafc"
"Oh Boy!","DE5862","#bbdaf8"
"Sail to the Sea","DE5863","#99c3f0"
"Cornflower","DE5864","#72a7e1"
"Safe Harbor","DE5865","#4a87cb"
"Dover Straits","DE5866","#326ab1"
"Blue Chip","DE5867","#1d5699"
"Winter Solstice","DE5868","#e2eaf0"
"Oceana Drive","DE5869","#c2d2e0"
"Northern Pond","DE5870","#a3b9cd"
"Downpour","DE5871","#819ab1"
"Lakeville","DE5872","#6c849b"
"Periscope","DE5873","#52677b"
"Deep Reservoir","DE5874","#424f5f"
"Clear Vision","DE5875","#e7f0f7"
"Alaskan Skies","DE5876","#cddced"
"Afternoon Sky","DE5877","#b0c6df"
"Bachelor Blue","DE5878","#8faaca"
"Ocean City","DE5879","#7896ba"
"Clean Slate","DE5880","#577396"
"Newbury Port","DE5881","#445a79"
"Harbor Afternoon","DE5882","#e0e9f3"
"Drenched Rain","DE5883","#c1d1e2"
"Misted Eve","DE5884","#a2b7cf"
"Denim Tradition","DE5885","#7f97b5"
"Bay View","DE5886","#6a819e"
"Admiral Blue","DE5887","#50647f"
"Luna Pier","DE5888","#414d62"
"Rainy Day","DE5889","#e0ebfa"
"Fly a Kite","DE5890","#c8daf5"
"Sky High","DE5891","#a7c2eb"
"Blue Cue","DE5892","#84a5dc"
"Bodega Bay","DE5893","#5e81c1"
"Starstruck","DE5894","#4664a5"
"Dive In","DE5895","#3c4d85"
"Crystal Falls","DE5896","#e1e6f2"
"Snowy Shadow","DE5897","#d3dbec"
"Prim Blue","DE5898","#b9c4de"
"Sapphire Fog","DE5899","#99a8c9"
"Enchanting Sky","DE5900","#7886aa"
"Ocean Night","DE5901","#637195"
