"Trimetal F436G","trimetal-f436g","#94a862"
"Trimetal F445K","trimetal-f445k","#6b862c"
"Trimetal F509F","trimetal-f509f","#a8ae9d"
"Trimetal F510N","trimetal-f510n","#464b38"
"Trimetal F511B","trimetal-f511b","#e4e9d1"
"Trimetal F520B","trimetal-f520b","#dae6c0"
"Trimetal F532E","trimetal-f532e","#b5c98c"
"Trimetal F623E","trimetal-f623e","#a7b887"
"Trimetal F624C","trimetal-f624c","#d3e1b5"
"Trimetal F706B","trimetal-f706b","#eaefe3"
"Trimetal F717D","trimetal-f717d","#c5d3b1"
"Trimetal F724L","trimetal-f724l","#5a6d3c"
"Trimetal F854F","trimetal-f854f","#8bbd55"
"Trimetal F866G","trimetal-f866g","#79b53a"
"Trimetal F905A","trimetal-f905a","#ecf0e6"
"Trimetal F906P","trimetal-f906p","#353c2f"
"Trimetal F911P","trimetal-f911p","#3c4733"
"Trimetal F912D","trimetal-f912d","#c8d3bb"
"Trimetal F920K","trimetal-f920k","#6e815d"
"Trimetal F934C","trimetal-f934c","#bcdc9a"
"Trimetal F962H","trimetal-f962h","#65a52e"
"Trimetal G108B","trimetal-g108b","#e5eede"
"Trimetal G120B","trimetal-g120b","#d6eac3"
"Trimetal G205D","trimetal-g205d","#d0d4c8"
"Trimetal G218H","trimetal-g218h","#859b7a"
"Trimetal G228J","trimetal-g228j","#698b59"
"Trimetal G252J","trimetal-g252j","#51922a"
"Trimetal G306F","trimetal-g306f","#a6aca0"
"Trimetal G315F","trimetal-g315f","#a5b89d"
"Trimetal G340E","trimetal-g340e","#99cc86"
"Trimetal G360H","trimetal-g360h","#5aa740"
"Trimetal G431J","trimetal-g431j","#658f59"
"Trimetal G458K","trimetal-g458k","#278a18"
"Trimetal G516D","trimetal-g516d","#b7ceaf"
"Trimetal G550G","trimetal-g550g","#6bb659"
"Trimetal G606C","trimetal-g606c","#d9e1d3"
"Trimetal G612C","trimetal-g612c","#c8dcc4"
"Trimetal G706B","trimetal-g706b","#e8f0e6"
"Trimetal G710B","trimetal-g710b","#d8e8d5"
"Trimetal G714L","trimetal-g714l","#5b715a"
"Trimetal G721F","trimetal-g721f","#93b690"
"Trimetal G730M","trimetal-g730m","#31642e"
"Trimetal G801B","trimetal-g801b","#e7ebea"
"Trimetal G802D","trimetal-g802d","#cbcdc9"
"Trimetal G804B","trimetal-g804b","#e7eee3"
"Trimetal G810B","trimetal-g810b","#ddead8"
"Trimetal G811B","trimetal-g811b","#d7ebd5"
"Trimetal G846L","trimetal-g846l","#2d7e38"
"Trimetal G908C","trimetal-g908c","#ccd9cb"
"Trimetal G910L","trimetal-g910l","#5f6f5f"
"Trimetal G919E","trimetal-g919e","#aacaab"
"Trimetal G922N","trimetal-g922n","#2f582e"
"Trimetal G929M","trimetal-g929m","#145c1e"
"Trimetal G932M","trimetal-g932m","#276831"
"Trimetal H009D","trimetal-h009d","#bed0bf"
"Trimetal H012B","trimetal-h012b","#cce1cc"
"Trimetal H012J","trimetal-h012j","#708674"
"Trimetal H124F","trimetal-h124f","#8fbb96"
"Trimetal H157H","trimetal-h157h","#41ab5f"
"Trimetal H203B","trimetal-h203b","#e3e9e3"
"Trimetal H241M","trimetal-h241m","#006422"
"Trimetal H302K","trimetal-h302k","#777b77"
"Trimetal H303B","trimetal-h303b","#e6eee9"
"Trimetal H312F","trimetal-h312f","#97b09e"
"Trimetal H418C","trimetal-h418c","#c1e5ca"
"Trimetal H438E","trimetal-h438e","#7ec995"
"Trimetal H502G","trimetal-h502g","#9ca19d"
"Trimetal H511P","trimetal-h511p","#1a3824"
"Trimetal H516N","trimetal-h516n","#30563e"
"Trimetal H604B","trimetal-h604b","#e6efe8"
"Trimetal H607C","trimetal-h607c","#c6d4ca"
"Trimetal H707B","trimetal-h707b","#dcece2"
"Trimetal H810J","trimetal-h810j","#6e8276"
"Trimetal H811F","trimetal-h811f","#95ae9f"
"Trimetal H843J","trimetal-h843j","#069260"
"Trimetal H845K","trimetal-h845k","#008450"
"Trimetal H913C","trimetal-h913c","#c6e3d2"
"Trimetal H936M","trimetal-h936m","#00673b"
"Trimetal H944H","trimetal-h944h","#30a878"
"Trimetal J008Q","trimetal-j008q","#183423"
"Trimetal J102B","trimetal-j102b","#e9ece9"
"Trimetal J110B","trimetal-j110b","#d0eade"
