"Tropical Hideaway","5007-10C","rgb(20, 147, 137)"
"Dreamy Teal","5007-8B","rgb(78, 151, 149)"
"Cool Rain","5005-10C","rgb(9, 155, 161)"
"Tropical Oasis","5004-8B","rgb(82, 145, 155)"
"Aqua Dance","5002-8B","rgb(79, 149, 165)"
"Pool Party","5002-10B","rgb(45, 154, 188)"
"Rushing Rapids","5001-8A","rgb(94, 151, 181)"
"Luscious Green","6010-7","rgb(35, 136, 72)"
"Green Sea","6001-10C","rgb(0, 150, 120)"
"Elegant Silk","5010-7","rgb(55, 131, 119)"
"Blue Turquoise","5006-10C","rgb(0, 138, 135)"
"Fish Story","5006-8C","rgb(63, 132, 136)"
"Garden Pool","5003-10C","rgb(14, 130, 159)"
"Wishing Well","5002-10C","rgb(10, 133, 169)"
"Roadster Blue","4006-6B","rgb(90, 133, 158)"
"Blue China","5001-8B","rgb(80, 135, 167)"
"Deep Blue Sea","5001-10C","rgb(67, 135, 172)"
"Deep Mint","6001-8C","rgb(62, 119, 88)"
"Green Suede","5009-6","rgb(18, 119, 94)"
"Nordic Forest","5010-6","rgb(47, 111, 94)"
"Stained Glass","5011-7","rgb(0, 122, 115)"
"Pine Forest","5007-8C","rgb(53, 113, 108)"
"Artisan Green","5009-7","rgb(53, 113, 108)"
"Bay Teal","5004-10C","rgb(0, 130, 140)"
"Vintage Teal","5010-9","rgb(13, 107, 116)"
"Starry Sky","5005-8C","rgb(52, 128, 139)"
"Ocean Soul","5009-9","rgb(0, 117, 133)"
"Four-Leaf Clover","6011-6","rgb(54, 106, 76)"
"Poker Green","6010-6","rgb(53, 102, 75)"
"Northern Hemisphere","5009-5","rgb(40, 102, 94)"
"Sensual Jade","5009-8","rgb(0, 105, 104)"
"Gypsy Teal","5010-8","rgb(23, 104, 107)"
"Shaded Lake","5011-9","rgb(40, 95, 111)"
"Pacific Pleasure","5009-10","rgb(20, 108, 138)"
"Bluish","4006-9C","rgb(167, 203, 235)"
"Sassy Violet","4004-10A","rgb(171, 175, 218)"
"Imperial Lilac","4003-9C","rgb(183, 173, 214)"
"Plink","4001-10A","rgb(208, 170, 211)"
"Pink Plunge","1001-1C","rgb(234, 167, 202)"
"Magic Wand","1001-2A","rgb(235, 186, 220)"
"Dawn's Reveal","1005-4A","rgb(223, 173, 196)"
"Pink Frenzy","1002-2A","rgb(235, 167, 196)"
"Hushed Rose","1003-2A","rgb(241, 178, 200)"
"Positively Pink","1003-1C","rgb(236, 155, 184)"
"Autumn Sky","4008-7C","rgb(129, 180, 223)"
"High Seas","4006-10A","rgb(137, 181, 220)"
"Blue Eyes","4007-8A","rgb(134, 172, 210)"
"Superior Blue","4006-8A","rgb(134, 171, 213)"
"Simply Periwinkle","4005-10A","rgb(144, 171, 214)"
"Mysterious Blue","4005-8A","rgb(154, 175, 216)"
"Purple Gala","4002-10A","rgb(192, 162, 209)"
"La La Love","1003-3C","rgb(200, 160, 195)"
"Quilted Heart","1004-3C","rgb(206, 156, 184)"
"Polka Pink","1006-4A","rgb(219, 156, 179)"
"Enchanted Sea","4008-8A","rgb(105, 160, 211)"
"Bliss","4003-6A","rgb(140, 167, 203)"
"Enchanted Evening","4003-8A","rgb(134, 152, 196)"
"Purplicious","4004-8A","rgb(148, 165, 210)"
"Quite Lilac","4003-10A","rgb(159, 147, 200)"
"Gleeful Joy","1001-3C","rgb(168, 145, 182)"
"Amethyst Purple","1004-5C","rgb(185, 147, 178)"
"Berry Twist","1002-1C","rgb(213, 136, 171)"
"Market Flower","1005-3C","rgb(207, 140, 169)"
"Raspberry Sorbet","1001-1B","rgb(220, 127, 180)"
"Blue Burst","4008-10B","rgb(48, 151, 208)"
"Blue Tango","4007-10B","rgb(89, 159, 212)"
"Someday","4006-10B","rgb(98, 150, 205)"
"Jazzy","4005-8B","rgb(119, 141, 191)"
"Blue Shock","4005-10B","rgb(127, 151, 204)"
"Plum Burst","4002-10B","rgb(163, 129, 186)"
"Berries Galore","4001-10B","rgb(178, 131, 184)"
"Wild Lavender","1002-3B","rgb(166, 133, 168)"
"Purple Stripe","1003-3B","rgb(174, 125, 167)"
"Nice Berry","1005-3B","rgb(191, 120, 150)"
"Star Gazer","4008-8B","rgb(80, 139, 196)"
"Mountain Lake","4006-8B","rgb(102, 137, 184)"
"Violet Twist","4004-8B","rgb(118, 135, 192)"
"Simply Purple","4004-10B","rgb(125, 131, 189)"
"Grapolicious","4003-10B","rgb(141, 127, 186)"
"Plum Shade","1003-5B","rgb(161, 129, 165)"
"Purple Jewel","1004-5B","rgb(168, 128, 162)"
"So Long Shadow","1004-3B","rgb(178, 120, 154)"
"Cosmic Pink","1001-1A","rgb(210, 110, 164)"
"Rose Dust","1002-1B","rgb(202, 105, 151)"
"Cosmic Blue","4008-10C","rgb(20, 126, 187)"
"Wellspring","4007-8B","rgb(94, 133, 178)"
"Burbling Brook","4007-8C","rgb(81, 117, 161)"
"Peek-A-Boo Blue","4007-10C","rgb(51, 112, 172)"
"Bedtime Story","4003-8B","rgb(106, 123, 162)"
"Dazzle","4005-10C","rgb(85, 109, 169)"
"Twinkle Night","4004-8C","rgb(90, 101, 161)"
