"G1-G048","g1-g048","#00b789"
"G1-G049","g1-g049","#009f76"
"G1-G050","g1-g050","#008f66"
"G1-G051","g1-g051","#008e64"
"G1-G052","g1-g052","#00916a"
"G1-G053","g1-g053","#007155"
"G1-G054","g1-g054","#008f6c"
"G1-G055","g1-g055","#068562"
"G1-G056","g1-g056","#009e65"
"G1-G057","g1-g057","#00a268"
"G1-G058","g1-g058","#009763"
"G1-G059","g1-g059","#007a4f"
"G1-G060","g1-g060","#008152"
"G1-G061","g1-g061","#008d54"
"G1-G062","g1-g062","#008d54"
"G1-G063","g1-g063","#008b52"
"G1-G064 RAL 6024-G0L","g1-g064-ral-6024-g0l","#01824d"
"G1-G065","g1-g065","#00804d"
"G1-G066","g1-g066","#007f4c"
"G1-G067","g1-g067","#00804c"
"G1-G068","g1-g068","#007f4a"
"G1-G069 RAL 6032-G0L","g1-g069-ral-6032-g0l","#007d48"
"G1-G070","g1-g070","#00754a"
"G1-G071","g1-g071","#007d4b"
"G1-G072","g1-g072","#00794e"
"G1-G073","g1-g073","#007f40"
"G1-G074","g1-g074","#007d47"
"G1-G075","g1-g075","#007a44"
"G1-G076","g1-g076","#007241"
"G1-G077","g1-g077","#006e44"
"G1-G078","g1-g078","#007e4b"
"G1-G079","g1-g079","#007d50"
"G1-G080","g1-g080","#007040"
"G1-G081","g1-g081","#00734a"
"G1-G082","g1-g082","#006d46"
"G1-G083","g1-g083","#006847"
"G1-G084","g1-g084","#006745"
"G1-G085","g1-g085","#006949"
"G1-G086","g1-g086","#006a49"
"G1-G087","g1-g087","#006648"
"G1-G088 RAL 6016-G0L","g1-g088-ral-6016-g0l","#006446"
"G1-G089","g1-g089","#006747"
"G1-G090","g1-g090","#006343"
"G1-G091","g1-g091","#006844"
"G1-G092","g1-g092","#007243"
"G1-G093","g1-g093","#00603e"
"G1-G094","g1-g094","#006243"
"G1-G095","g1-g095","#00512b"
"G1-G096","g1-g096","#005e37"
