"Black Box","MP33758","#0a1b20"
"Baby Blue Metallic","MP45612","#8e9cc2"
"Balsam Green Metallic","MP27540","#005f4b"
"Bayou Blue","MP25771","#387472"
"Bicycle Blue","MP25808","#355284"
"Blue Smoke","MP56851","#798fa1"
"Bluest Blue","MP55697","#0d3765"
"Bluetooth","MP55795","#373552"
"Bone White","MP25833","#f9efd1"
"Bright Orange","MP23906","#e67215"
"Brilliant Gold","MP46400SP","#f0dbaa"
"Brushed Aluminum","MP41342SP","#bbbbbf"
"Burgundy Maroon","MP42215SP","#64052b"
"Burgundy Metallic","MP19757","#79413f"
"Cabot Trail","MP12257","#9c877c"
"Canterbury Cream","MP25900","#fce5b6"
"Capri Blue","MP42219SP","#001e6d"
"Cerise Lipstick","MP26452","#b11e60"
"Champagne Grey Metallic","MP16771","#a59e8e"
"Chartreuse Yellow","MP25026","#f1d655"
"Cicada Grey","MP25836","#95a195"
"Citron Glace","MP29545","#f9e160"
"Citrus Yellow","MP10211","#f8c300"
"Clay Basket Brown","MP25839","#8f786e"
"Cool Gray","MP55840","#b7b1a3"
"Copper","MP46253SP","#ad5e4a"
"Coral","MP29214","#ff825e"
"Country Club Green","MP24502","#2e8268"
"Country Red","MP23446","#703231"
"Crimson Red","MP23966","#db2925"
"Dark Bronze","MP41313SP","#5a504c"
"Deep Green","MP24510","#004546"
"Deep Purple","MP25550","#551a4d"
"Durango Grey","MP25849","#979182"
"Electrical Blue","MP24100","#4183ba"
"Federal Green","MP42259SP","#006923"
"Fern Green Metallic","MP30043","#62b973"
"Fiesta Orange","MP29633","#e9811a"
"Fire Red","MP24069","#da251d"
"Fire Weed Red","MP23647","#9d5849"
"Forest Green","MP55690","#1a6755"
"Gloss Black","MPSOA929SP","#1f1a17"
"Gloss Hi-Hide White","MP6422SP","#fbfdf9"
"Graceful Grape","MP25867","#956e8a"
"Granny Smith","MP28434","#8cb452"
"Grape Jello","MP29705","#6a1b4e"
"Green Jewel","MP25066","#468a5e"
"Hapsburg Blue Metallic","MP24661","#00537d"
"Jonquil Yellow","MP29464","#fcd600"
"Kryptonite Green","MP25899","#419547"
"Lake George","MP43348","#d3d8d8"
"Lily Morada","MP25854","#7e7694"
"Mardi Gras Teal","MP24340","#4ca2a8"
"Marina Blue","MP29320","#375688"
"Mediterranean Sky","MP20498","#c3cdd5"
"Medium Bronze","MP41312SP","#88705a"
"Mexicali Red","MP42214SP","#9c213d"
"Moonlit Pond","MP55396","#004447"
"Moss Green Metallic","MP42868","#a7b0a4"
"Mustard","MP28153","#e1aa00"
"Napa Merlot","MP29732","#772347"
"Natural White","MPSOA202SP","#fffff6"
"Navel Orange","MP29653","#eb811b"
"North Sea Blue","MP23708","#686e7e"
"Old Copper","MP41314SP","#684d3c"
"Old Orchid Metallic","MP21843","#7e416b"
"Orange County","MP56966","#ea4d24"
"Orange Flare","MP28239","#e35f13"
