"Baumann-Prase 1-W","1-w","#f2eee6"
"Baumann-Prase 1100-7 Bg","1100-7-bg","#3c71c2"
"Baumann-Prase 1101-8 Bg","1101-8-bg","#3162b9"
"Baumann-Prase 1102-2 Bg 1","1102-2-bg-1","#9fb7cf"
"Baumann-Prase 1103-3 Bg 1","1103-3-bg-1","#8eaac6"
"Baumann-Prase 1104-4 Bg 1","1104-4-bg-1","#7b9abe"
"Baumann-Prase 1105-5 Bg 1","1105-5-bg-1","#5d81b1"
"Baumann-Prase 1106-6 Bg 1","1106-6-bg-1","#4c77a1"
"Baumann-Prase 1107-7 Bg 1","1107-7-bg-1","#4070a7"
"Baumann-Prase 1108-8 Bg 1","1108-8-bg-1","#386396"
"Baumann-Prase 1109-9 Bg 1","1109-9-bg-1","#366094"
"Baumann-Prase 1110-2 Bg 2","1110-2-bg-2","#aabecd"
"Baumann-Prase 1111-4 Bg 2","1111-4-bg-2","#7492af"
"Baumann-Prase 1112-6 Bg 2","1112-6-bg-2","#567394"
"Baumann-Prase 1113-8 Bg 2","1113-8-bg-2","#405c83"
"Baumann-Prase 1114-10 Bg 2","1114-10-bg-2","#304766"
"Baumann-Prase 1115-1 Bg 3","1115-1-bg-3","#bac9cd"
"Baumann-Prase 1116-3 Bg 3","1116-3-bg-3","#9aabb9"
"Baumann-Prase 1117-5 Bg 3","1117-5-bg-3","#7a8c9f"
"Baumann-Prase 1118-7 Bg 3","1118-7-bg-3","#51667b"
"Baumann-Prase 1119-9 Bg 3","1119-9-bg-3","#3d5164"
"Baumann-Prase 1120-11 Bg 3","1120-11-bg-3","#3a4655"
"Baumann-Prase 1121-2 B-Bg","1121-2-b-bg","#accbdc"
"Baumann-Prase 1122-3 B-Bg","1122-3-b-bg","#8db7e2"
"Baumann-Prase 1123-4 B-Bg","1123-4-b-bg","#76a7d8"
"Baumann-Prase 1124-5 B-Bg","1124-5-b-bg","#618fd2"
"Baumann-Prase 1125-6 B-Bg","1125-6-b-bg","#4980d1"
"Baumann-Prase 1126-7 B-Bg","1126-7-b-bg","#3d73cb"
"Baumann-Prase 1127-8 B-Bg","1127-8-b-bg","#2f64c5"
"Baumann-Prase 1128-3 B-Bg 1","1128-3-b-bg-1","#8aaecf"
"Baumann-Prase 1129-5 B-Bg 1","1129-5-b-bg-1","#618cbf"
"Baumann-Prase 1130-7 B-Bg 1","1130-7-b-bg-1","#466b98"
"Baumann-Prase 1131-9 B-Bg 1","1131-9-b-bg-1","#2e5488"
"Baumann-Prase 1132-4 B-Bg 2","1132-4-b-bg-2","#90a3b7"
"Baumann-Prase 1133-6 B-Bg 2","1133-6-b-bg-2","#5c7a9a"
"Baumann-Prase 1134-8 B-Bg 2","1134-8-b-bg-2","#4b6076"
"Baumann-Prase 1135-10 B-Bg 2","1135-10-b-bg-2","#354455"
"Baumann-Prase 1136-1 B","1136-1-b","#c9dbe3"
"Baumann-Prase 1137-2 B","1137-2-b","#a8c5de"
"Baumann-Prase 1138-3 B","1138-3-b","#8dafd5"
"Baumann-Prase 1139-4 B","1139-4-b","#6c9cd8"
"Baumann-Prase 1140-5 B","1140-5-b","#598cd0"
"Baumann-Prase 1141-6 B","1141-6-b","#4a7cca"
"Baumann-Prase 1142-7 B","1142-7-b","#376cc6"
"Baumann-Prase 1143-8 B","1143-8-b","#3b63bd"
"Baumann-Prase 1144-1 B 1","1144-1-b-1","#b6ccdc"
"Baumann-Prase 1145-2 B 1","1145-2-b-1","#99b7d0"
"Baumann-Prase 1146-3 B 1","1146-3-b-1","#84a5cc"
"Baumann-Prase 1147-4 B 1","1147-4-b-1","#7598bf"
"Baumann-Prase 1148-5 B 1","1148-5-b-1","#6b90bd"
"Baumann-Prase 1149-6 B 1","1149-6-b-1","#5c81af"
"Baumann-Prase 1150-7 B 1","1150-7-b-1","#456ea8"
"Baumann-Prase 1151-8 B 1","1151-8-b-1","#3b5b91"
"Baumann-Prase 1152-9 B 1","1152-9-b-1","#32518a"
"Baumann-Prase 1153-2 B 2","1153-2-b-2","#97b1c8"
"Baumann-Prase 1154-4 B 2","1154-4-b-2","#819cb6"
"Baumann-Prase 1155-6 B 2","1155-6-b-2","#5f7a98"
"Baumann-Prase 1156-8 B 2","1156-8-b-2","#4a6180"
"Baumann-Prase 1157-10 B 2","1157-10-b-2","#35445f"
"Baumann-Prase 1158-1 B 3","1158-1-b-3","#b1c2cc"
"Baumann-Prase 1159-3 B 3","1159-3-b-3","#90a4b3"
"Baumann-Prase 1160-5 B 3","1160-5-b-3","#728699"
"Baumann-Prase 1161-7 B 3","1161-7-b-3","#5d6f80"
"Baumann-Prase 1162-9 B 3","1162-9-b-3","#455364"
"Baumann-Prase 1163-11 B 3","1163-11-b-3","#2f364c"
"Baumann-Prase 1164-2 B-Bv","1164-2-b-bv","#b1c4de"
"Baumann-Prase 1165-3 B-Bv","1165-3-b-bv","#8da8d7"
"Baumann-Prase 1166-4 B-Bv","1166-4-b-bv","#7896d0"
"Baumann-Prase 1167-5 B-Bv","1167-5-b-bv","#6283ca"
"Baumann-Prase 1168-6 B-Bv","1168-6-b-bv","#5674c2"
"Baumann-Prase 1169-7 B-Bv","1169-7-b-bv","#4462b9"
"Baumann-Prase 1170-8 B-Bv","1170-8-b-bv","#3646a4"
"Baumann-Prase 1171-3 B-Bv 1","1171-3-b-bv-1","#879dc2"
"Baumann-Prase 1172-5 B-Bv 1","1172-5-b-bv-1","#5d79ac"
"Baumann-Prase 1173-7 B-Bv 1","1173-7-b-bv-1","#425995"
"Baumann-Prase 1174-9 B-Bv 1","1174-9-b-bv-1","#2d4184"
"Baumann-Prase 1175-4 B-Bv 2","1175-4-b-bv-2","#7688a3"
"Baumann-Prase 1176-6 B-Bv 2","1176-6-b-bv-2","#596d8c"
"Baumann-Prase 1177-8 B-Bv 2","1177-8-b-bv-2","#3c4d70"
"Baumann-Prase 1178-10 B-Bv 2","1178-10-b-bv-2","#303a5f"
"Baumann-Prase 1202-2 Bv-Vb","1202-2-bv-vb","#b3bbe1"
"Baumann-Prase 1203-3 Bv-Vb","1203-3-bv-vb","#9da4d9"
"Baumann-Prase 1204-4 Bv-Vb","1204-4-bv-vb","#9097d3"
"Baumann-Prase 1205-5 Bv-Vb","1205-5-bv-vb","#747ec2"
"Baumann-Prase 1206-6 Bv-Vb","1206-6-bv-vb","#6a6bb9"
"Baumann-Prase 1207-7 Bv-Vb","1207-7-bv-vb","#5d59b2"
"Baumann-Prase 1208-8 Bv-Vb","1208-8-bv-vb","#4f44a3"
"Baumann-Prase 1209-9 Bv-Vb","1209-9-bv-vb","#3b2f86"
"Baumann-Prase 1210-4 Bv-Vb 1","1210-4-bv-vb-1","#8991b7"
"Baumann-Prase 1211-6 Bv-Vb 1","1211-6-bv-vb-1","#6b72a7"
"Baumann-Prase 1212-8 Bv-Vb 1","1212-8-bv-vb-1","#525784"
"Baumann-Prase 1213-10 Bv-Vb 1","1213-10-bv-vb-1","#464e7f"
"Baumann-Prase 1179-1 Bv","1179-1-bv","#c7d2e4"
"Baumann-Prase 1180-2 Bv","1180-2-bv","#b2c1e1"
"Baumann-Prase 1181-3 Bv","1181-3-bv","#9cabdb"
"Baumann-Prase 1182-4 Bv","1182-4-bv","#8395d2"
"Baumann-Prase 1183-5 Bv","1183-5-bv","#6e82ca"
"Baumann-Prase 1184-6 Bv","1184-6-bv","#5c6cbf"
"Baumann-Prase 1185-7 Bv","1185-7-bv","#4c5ab3"
"Baumann-Prase 1186-8 Bv","1186-8-bv","#3f44aa"
"Baumann-Prase 1187-9 Bv","1187-9-bv","#3539a4"
"Baumann-Prase 1188-2 Bv 1","1188-2-bv-1","#b4bed1"
"Baumann-Prase 1189-3 Bv 1","1189-3-bv-1","#9daac4"
"Baumann-Prase 1190-4 Bv 1","1190-4-bv-1","#8997bc"
"Baumann-Prase 1191-5 Bv 1","1191-5-bv-1","#7486af"
"Baumann-Prase 1192-6 Bv 1","1192-6-bv-1","#6175a5"
"Baumann-Prase 1193-7 Bv 1","1193-7-bv-1","#51639c"
"Baumann-Prase 1194-8 Bv 1","1194-8-bv-1","#3c4a81"
"Baumann-Prase 1195-9 Bv 1","1195-9-bv-1","#364174"
"Baumann-Prase 1196-10 Bv 1","1196-10-bv-1","#373e79"
"Baumann-Prase 1197-3 Bv 2","1197-3-bv-2","#97a1b5"
"Baumann-Prase 1198-5 Bv 2","1198-5-bv-2","#7581a2"
"Baumann-Prase 1199-7 Bv 2","1199-7-bv-2","#606b8c"
"Baumann-Prase 1200-9 Bv 2","1200-9-bv-2","#3e4a6e"
"Baumann-Prase 1201-11 Bv 2","1201-11-bv-2","#333a58"
"Baumann-Prase 1214-1 Vb","1214-1-vb","#cac9de"
"Baumann-Prase 1215-2 Vb","1215-2-vb","#abacd8"
"Baumann-Prase 1216-3 Vb","1216-3-vb","#9493ce"
"Baumann-Prase 1217-4 Vb","1217-4-vb","#867fc0"
"Baumann-Prase 1218-5 Vb","1218-5-vb","#746bb5"
"Baumann-Prase 1219-6 Vb","1219-6-vb","#6961aa"
"Baumann-Prase 1220-7 Vb","1220-7-vb","#564d9c"
"Baumann-Prase 1221-8 Vb","1221-8-vb","#4d3d8a"
"Baumann-Prase 1222-9 Vb","1222-9-vb","#3b2b72"
"Baumann-Prase 1223-2 Vb 1","1223-2-vb-1","#adafcb"
"Baumann-Prase 1224-3 Vb 1","1224-3-vb-1","#9b9cba"
"Baumann-Prase 1225-4 Vb 1","1225-4-vb-1","#878ab6"
"Baumann-Prase 1226-5 Vb 1","1226-5-vb-1","#6e709f"
"Baumann-Prase 1227-6 Vb 1","1227-6-vb-1","#646393"
"Baumann-Prase 1228-7 Vb 1","1228-7-vb-1","#575384"
"Baumann-Prase 1229-8 Vb 1","1229-8-vb-1","#4b4470"
"Baumann-Prase 1230-9 Vb 1","1230-9-vb-1","#47406e"
"Baumann-Prase 1231-10 Vb 1","1231-10-vb-1","#413a57"
"Baumann-Prase 1232-1 Vb 2","1232-1-vb-2","#b8b5c0"
"Baumann-Prase 1233-3 Vb 2","1233-3-vb-2","#9e9bb7"
"Baumann-Prase 1234-5 Vb 2","1234-5-vb-2","#807c9a"
"Baumann-Prase 1235-7 Vb 2","1235-7-vb-2","#656183"
"Baumann-Prase 1236-9 Vb 2","1236-9-vb-2","#474260"
"Baumann-Prase 1237-11 Vb 2","1237-11-vb-2","#37334b"
"Baumann-Prase 1252-1 V","1252-1-v","#d1c3d5"
"Baumann-Prase 1253-2 V","1253-2-v","#bdafca"
"Baumann-Prase 1254-3 V","1254-3-v","#a294bb"
"Baumann-Prase 1255-4 V","1255-4-v","#9080ae"
"Baumann-Prase 1256-5 V","1256-5-v","#7d6d9c"
"Baumann-Prase 1257-6 V","1257-6-v","#766197"
"Baumann-Prase 1258-7 V","1258-7-v","#6e5c8c"
"Baumann-Prase 1259-8 V","1259-8-v","#5f4977"
"Baumann-Prase 1260-9 V","1260-9-v","#503d5f"
"Baumann-Prase 1261-10 V","1261-10-v","#4a3650"
"Baumann-Prase 1262-1 V 1","1262-1-v-1","#d0c5c3"
"Baumann-Prase 1263-3 V 1","1263-3-v-1","#a99cae"
"Baumann-Prase 1264-5 V 1","1264-5-v-1","#887b97"
"Baumann-Prase 1265-7 V 1","1265-7-v-1","#6d5c78"
"Baumann-Prase 1266-9 V 1","1266-9-v-1","#54445f"
"Baumann-Prase 1267-11 V 1","1267-11-v-1","#403944"
"Baumann-Prase 1247-3 V-Vb 1","1247-3-v-vb-1","#9d93b0"
"Baumann-Prase 1248-5 V-Vb 1","1248-5-v-vb-1","#7d749a"
"Baumann-Prase 1249-7 V-Vb 1","1249-7-v-vb-1","#594b76"
"Baumann-Prase 1250-9 V-Vb 1","1250-9-v-vb-1","#4f4362"
"Baumann-Prase 1251-11 V-Vb 1","1251-11-v-vb-1","#3f374c"
"Baumann-Prase 1238-2 V-Vb","1238-2-v-vb","#a8a1c3"
"Baumann-Prase 1239-3 V-Vb","1239-3-v-vb","#9991bd"
"Baumann-Prase 1240-4 V-Vb","1240-4-v-vb","#867caa"
"Baumann-Prase 1241-5 V-Vb","1241-5-v-vb","#73689a"
"Baumann-Prase 1242-6 V-Vb","1242-6-v-vb","#695e94"
"Baumann-Prase 1243-7 V-Vb","1243-7-v-vb","#5b4f85"
"Baumann-Prase 1244-8 V-Vb","1244-8-v-vb","#514275"
"Baumann-Prase 1245-9 V-Vb","1245-9-v-vb","#473767"
"Baumann-Prase 1246-10 V-Vb","1246-10-v-vb","#413453"
"Baumann-Prase 1280-1 Vp","1280-1-vp","#d7c0d6"
"Baumann-Prase 1281-2 Vp","1281-2-vp","#c4a4c4"
"Baumann-Prase 1282-3 Vp","1282-3-vp","#ad89af"
"Baumann-Prase 1283-4 Vp","1283-4-vp","#a179a0"
"Baumann-Prase 1284-5 Vp","1284-5-vp","#91678e"
"Baumann-Prase 1285-6 Vp","1285-6-vp","#906893"
"Baumann-Prase 1286-7 Vp","1286-7-vp","#775173"
"Baumann-Prase 1287-8 Vp","1287-8-vp","#704a6f"
"Baumann-Prase 1288-9 Vp","1288-9-vp","#633b5f"
"Baumann-Prase 1289-10 Vp","1289-10-vp","#4b354b"
"Baumann-Prase 1290-1 Vp 1","1290-1-vp-1","#decccd"
"Baumann-Prase 1291-3 Vp 1","1291-3-vp-1","#baa3af"
"Baumann-Prase 1292-5 Vp 1","1292-5-vp-1","#957a95"
"Baumann-Prase 1293-7 Vp 1","1293-7-vp-1","#7a617c"
"Baumann-Prase 1294-9 Vp 1","1294-9-vp-1","#5e475c"
"Baumann-Prase 1295-11 Vp 1","1295-11-vp-1","#463142"
"Baumann-Prase 1276-5 V-Vp 1","1276-5-v-vp-1","#8d7297"
"Baumann-Prase 1277-7 V-Vp 1","1277-7-v-vp-1","#725a77"
"Baumann-Prase 1278-9 V-Vp 1","1278-9-v-vp-1","#544258"
"Baumann-Prase 1279-11 V-Vp 1","1279-11-v-vp-1","#443542"
"Baumann-Prase 1268-3 V-Vp","1268-3-v-vp","#b78cc7"
"Baumann-Prase 1269-4 V-Vp","1269-4-v-vp","#a57bb8"
"Baumann-Prase 1270-5 V-Vp","1270-5-v-vp","#9065aa"
"Baumann-Prase 1271-6 V-Vp","1271-6-v-vp","#865a9c"
"Baumann-Prase 1272-7 V-Vp","1272-7-v-vp","#78508d"
"Baumann-Prase 1273-8 V-Vp","1273-8-v-vp","#664677"
"Baumann-Prase 1274-9 V-Vp","1274-9-v-vp","#593f5f"
"Baumann-Prase 1275-10 V-Vp","1275-10-v-vp","#493450"
"Baumann-Prase 1310-1 Pv","1310-1-pv","#e5c0d0"
"Baumann-Prase 1311-2 Pv","1311-2-pv","#d7a3b7"
"Baumann-Prase 1312-3 Pv","1312-3-pv","#c793a8"
"Baumann-Prase 1313-4 Pv","1313-4-pv","#b77f97"
"Baumann-Prase 1314-5 Pv","1314-5-pv","#a86584"
"Baumann-Prase 1315-6 Pv","1315-6-pv","#9a5471"
"Baumann-Prase 1316-7 Pv","1316-7-pv","#8c4864"
"Baumann-Prase 1317-8 Pv","1317-8-pv","#85405a"
"Baumann-Prase 1318-9 Pv","1318-9-pv","#7c3850"
"Baumann-Prase 1319-10 Pv","1319-10-pv","#6d3847"
"Baumann-Prase 1320-1 Pv 1","1320-1-pv-1","#e0c5c7"
"Baumann-Prase 1321-3 Pv 1","1321-3-pv-1","#ba95a1"
"Baumann-Prase 1322-5 Pv 1","1322-5-pv-1","#a37788"
"Baumann-Prase 1323-7 Pv 1","1323-7-pv-1","#886272"
"Baumann-Prase 1324-9 Pv 1","1324-9-pv-1","#876272"
"Baumann-Prase 1325-11 Pv 1","1325-11-pv-1","#6c4856"
"Baumann-Prase 1305-3 Vp-Pv 1","1305-3-vp-pv-1","#553843"
"Baumann-Prase 1306-5 Vp-Pv 1","1306-5-vp-pv-1","#b08ca7"
"Baumann-Prase 1307-7 Vp-Pv 1","1307-7-vp-pv-1","#9a708f"
"Baumann-Prase 1308-9 Vp-Pv 1","1308-9-vp-pv-1","#795470"
"Baumann-Prase 1309-11 Vp-Pv 1","1309-11-vp-pv-1","#523445"
"Baumann-Prase 1296-2 Vp-Pv","1296-2-vp-pv","#d196cc"
"Baumann-Prase 1297-3 Vp-Pv","1297-3-vp-pv","#c583c2"
"Baumann-Prase 1298-4 Vp-Pv","1298-4-vp-pv","#b972b8"
"Baumann-Prase 1299-5 Vp-Pv","1299-5-vp-pv","#b366b1"
"Baumann-Prase 1300-6 Vp-Pv","1300-6-vp-pv","#a75aa1"
"Baumann-Prase 1301-7 Vp-Pv","1301-7-vp-pv","#a14595"
"Baumann-Prase 1302-8 Vp-Pv","1302-8-vp-pv","#854481"
"Baumann-Prase 1303-9 Vp-Pv","1303-9-vp-pv","#643e5d"
"Baumann-Prase 1304-10 Vp-Pv","1304-10-vp-pv","#593245"
