"Moon Dance","380C-3","#f9f6b3"
"Feather Gold","380D-4","#eedb69"
"California Dreaming","380D-5","#dbcf4b"
"Leapfrog","380D-6","#c3b430"
"Wild Grass","380D-7","#8b8d1a"
"Mist Yellow","380E-1","#faf3da"
"Lightning White","380E-2","#f8f0ce"
"Satin Souffle","380E-3","#eee6b9"
"Ground Ginger","380F-4","#d8d299"
"Harmonic Tan","380F-5","#bebc7c"
"River Bank","380F-6","#979a63"
"Crocodile","380F-7","#6a6e48"
"Star Dust","390A-1","#fbf9e0"
"Pina Colada","390A-2","#faf8d3"
"Twinkle","390A-3","#fbf8c5"
"Chilled Lemonade","390B-4","#fcea80"
"Bee Pollen","390B-5","#f5e16d"
"Citrus Zest","390B-6","#eccc39"
"Lemon Lime","390B-7","#e4c000"
"Capri Cream","390C-1","#fbf7d4"
"Garlic Clove","390C-2","#f7f3c3"
"Windsong","390C-3","#f3eba6"
"Honey Beige","390D-4","#e7dd89"
"Sea Kelp","390D-5","#dbcc72"
"Spring Moss","390D-6","#9f9f35"
"Marsh Grass","390D-7","#727613"
"Cosmic Dust","390E-1","#f8f6d7"
"Starbright","390E-2","#f5f4c5"
"Rainforest Dew","390E-3","#e5e3ab"
"Outback","390F-4","#ccd08f"
"Ryegrass","390F-5","#b7bf77"
"Tate Olive","390F-6","#8e984b"
"Wilderness","390F-7","#5d672d"
"Candlelight Yellow","400A-1","#f8f9c3"
"Summer Resort","400A-2","#f6f9ac"
"Pear","400A-3","#edf985"
"Citron","400B-4","#dff652"
"Grape Green","400B-5","#c9e72f"
"Japanese Fern","400B-6","#b0d421"
"Lemon Grass","400B-7","#9db713"
"White Jasmine","400C-1","#f9fae3"
