"Sto 34211","sto-34211","#858096"
"Sto 34212","sto-34212","#9792a4"
"Sto 34213","sto-34213","#b1aebc"
"Sto 34214","sto-34214","#c3bfc9"
"Sto 34215","sto-34215","#d5d1d5"
"Sto 34216","sto-34216","#e3dfdf"
"Sto 34220","sto-34220","#8d8798"
"Sto 34221","sto-34221","#a39eac"
"Sto 34222","sto-34222","#b4b0bb"
"Sto 34230","sto-34230","#615f6a"
"Sto 34231","sto-34231","#767582"
"Sto 34232","sto-34232","#8a8996"
"Sto 34233","sto-34233","#9997a2"
"Sto 34234","sto-34234","#afafb9"
"Sto 34235","sto-34235","#cbc8cd"
"Sto 34236","sto-34236","#d0ced1"
"Sto 34237","sto-34237","#e0dedc"
"Sto 34240","sto-34240","#767183"
"Sto 34241","sto-34241","#64606f"
"Sto 34242","sto-34242","#5f5c68"
"Sto 34243","sto-34243","#54545a"
"Sto 34300","sto-34300","#545b7c"
"Sto 34301","sto-34301","#6d799c"
"Sto 34302","sto-34302","#7f8bad"
"Sto 34303","sto-34303","#9ea9c4"
"Sto 34304","sto-34304","#adb7cf"
"Sto 34305","sto-34305","#c1cada"
"Sto 34306","sto-34306","#cbd2df"
"Sto 34307","sto-34307","#d6dce4"
"Sto 34308","sto-34308","#e1e7ea"
"Sto 34309","sto-34309","#e9ecea"
"Sto 34310","sto-34310","#7e89a2"
"Sto 34311","sto-34311","#959fb5"
"Sto 34312","sto-34312","#a8b1c5"
"Sto 34313","sto-34313","#b7bfcf"
"Sto 34314","sto-34314","#c8ced9"
"Sto 34315","sto-34315","#d0d6de"
"Sto 34320","sto-34320","#7d8699"
"Sto 34321","sto-34321","#9aa2b3"
"Sto 34322","sto-34322","#b9c0ca"
"Sto 34323","sto-34323","#c9ced4"
"Sto 34330","sto-34330","#656672"
"Sto 34331","sto-34331","#6e707d"
"Sto 34332","sto-34332","#8e8f9b"
"Sto 34333","sto-34333","#a0a1ad"
"Sto 34334","sto-34334","#b5b6bf"
"Sto 34335","sto-34335","#c1c2c9"
"Sto 34336","sto-34336","#d0d1d5"
"Sto 34337","sto-34337","#dddedf"
"Sto 34340","sto-34340","#53596d"
"Sto 34341","sto-34341","#5b5c67"
"Sto 34400","sto-34400","#4c638d"
"Sto 34401","sto-34401","#6482ac"
"Sto 34402","sto-34402","#7693ba"
"Sto 34403","sto-34403","#98b1d0"
"Sto 34404","sto-34404","#a5bbd5"
"Sto 34405","sto-34405","#bbcddf"
"Sto 34406","sto-34406","#c6d5e3"
"Sto 34407","sto-34407","#d4e0e8"
"Sto 34408","sto-34408","#dee7eb"
"Sto 34409","sto-34409","#e1e8e7"
"Sto 34410","sto-34410","#7494b1"
"Sto 34411","sto-34411","#93afc7"
"Sto 34412","sto-34412","#a6bed3"
"Sto 34413","sto-34413","#bdd0dd"
"Sto 34414","sto-34414","#c3d3df"
"Sto 34420","sto-34420","#7a879a"
"Sto 34421","sto-34421","#9aa6b7"
"Sto 34422","sto-34422","#b3bcc7"
"Sto 34423","sto-34423","#c6cdd4"
