"Scala 60-15-15","scala-60-15-15","#92b3d8"
"Scala 60-15-21","scala-60-15-21","#5f85af"
"Scala 60-15-24","scala-60-15-24","#426c96"
"Scala 60-18-18","scala-60-18-18","#719ccc"
"Scala 60-21-18","scala-60-21-18","#629dd5"
"Scala 63-06-03","scala-63-06-03","#dbe4ed"
"Scala 63-06-09","scala-63-06-09","#c4d1dc"
"Scala 63-06-15","scala-63-06-15","#a7b3bf"
"Scala 63-06-18","scala-63-06-18","#8e99a4"
"Scala 63-09-03","scala-63-09-03","#d8e9ef"
"Scala 63-09-09","scala-63-09-09","#b9ced8"
"Scala 63-09-15","scala-63-09-15","#9eb6c5"
"Scala 63-09-18","scala-63-09-18","#869dae"
"Scala 63-12-06","scala-63-12-06","#c4e2ed"
"Scala 63-15-12","scala-63-15-12","#a2cbe3"
"Scala 63-15-18","scala-63-15-18","#6ea5ca"
"Scala 63-15-24","scala-63-15-24","#347095"
"Scala 66-03-03","scala-66-03-03","#dbded9"
"Scala 66-03-06","scala-66-03-06","#d7dcd8"
"Scala 66-03-09","scala-66-03-09","#c5cece"
"Scala 66-03-12","scala-66-03-12","#bcc6c8"
"Scala 66-03-15","scala-66-03-15","#abb7bb"
"Scala 66-03-18","scala-66-03-18","#92a1a9"
"Scala 66-06-21","scala-66-06-21","#7c888f"
"Scala 66-06-27","scala-66-06-27","#44525c"
"Scala 66-12-06","scala-66-12-06","#cae3ed"
"Scala 66-12-12","scala-66-12-12","#a2c8d8"
"Scala 66-12-15","scala-66-12-15","#83b9cf"
"Scala 66-12-21","scala-66-12-21","#52879e"
"Scala 69-06-09","scala-69-06-09","#bfcecf"
"Scala 69-06-15","scala-69-06-15","#9eb0b2"
"Scala 69-06-18","scala-69-06-18","#849798"
"Scala 69-06-24","scala-69-06-24","#53696e"
"Scala 69-09-12","scala-69-09-12","#b2cad1"
"Scala 69-09-18","scala-69-09-18","#769ba9"
"Scala 69-09-21","scala-69-09-21","#5a858f"
"Scala 69-09-27","scala-69-09-27","#33555f"
"Scala 72-09-12","scala-72-09-12","#9dc5c3"
"Scala 72-09-24","scala-72-09-24","#446d74"
"Scala 72-12-18","scala-72-12-18","#5fa1ae"
"Scala 72-12-21","scala-72-12-21","#418798"
"Scala 75-06-03","scala-75-06-03","#e5ede7"
"Scala 75-06-09","scala-75-06-09","#ccd5d1"
"Scala 75-06-15","scala-75-06-15","#a5b2b0"
"Scala 75-06-21","scala-75-06-21","#76817f"
"Scala 75-09-03","scala-75-09-03","#e0ede6"
"Scala 75-09-15","scala-75-09-15","#9cb4af"
"Scala 75-12-18","scala-75-12-18","#749f99"
"Scala 75-15-24","scala-75-15-24","#456f69"
"Scala 78-01-03","scala-78-01-03","#e3e9e5"
"Scala 78-01-06","scala-78-01-06","#d5dad6"
"Scala 78-01-09","scala-78-01-09","#c7cbc7"
"Scala 78-01-12","scala-78-01-12","#b1b5b2"
"Scala 78-01-15","scala-78-01-15","#9a9f9d"
"Scala 78-01-18","scala-78-01-18","#868b8a"
"Scala 78-01-21","scala-78-01-21","#757978"
"Scala 78-01-27","scala-78-01-27","#4f5252"
"Scala 81-03-27","scala-81-03-27","#48534f"
"Scala 81-06-03","scala-81-06-03","#e6eee0"
"Scala 81-06-06","scala-81-06-06","#d4dfd1"
"Scala 81-06-12","scala-81-06-12","#b6c5b6"
"Scala 81-06-16","scala-81-06-16","#93a393"
"Scala 81-09-03","scala-81-09-03","#e3eed2"
"Scala 81-09-09","scala-81-09-09","#c5d8b7"
"Scala 81-09-16","scala-81-09-16","#8dab8b"
"Scala 81-09-21","scala-81-09-21","#638269"
"Scala 81-09-24","scala-81-09-24","#47654f"
"Scala 81-12-09","scala-81-12-09","#b9d4a3"
"Scala 81-12-16","scala-81-12-16","#81ad76"
"Scala 84-06-03","scala-84-06-03","#e6eada"
"Scala 84-06-09","scala-84-06-09","#dae0cd"
"Scala 84-06-15","scala-84-06-15","#c1c7b2"
"Scala 84-06-18","scala-84-06-18","#aeb49d"
"Scala 84-06-30","scala-84-06-30","#4b5146"
"Scala 84-09-09","scala-84-09-09","#dce2c3"
"Scala 84-09-12","scala-84-09-12","#c7d3ad"
"Scala 84-09-18","scala-84-09-18","#a4b48c"
