"TRUMATCH 8-f1","8-f1","#f3d9bf"
"TRUMATCH 8-d5","8-d5","#c1976a"
"TRUMATCH 8-e5","8-e5","#c2a585"
"TRUMATCH 8-a2","8-a2","#dc7f1f"
"TRUMATCH 8-b2","8-b2","#df8f3c"
"TRUMATCH 8-c2","8-c2","#e1a059"
"TRUMATCH 8-d2","8-d2","#e3b079"
"TRUMATCH 8-e2","8-e2","#e5c099"
"TRUMATCH 8-a5","8-a5","#ba6e22"
"TRUMATCH 8-b5","8-b5","#bd7b37"
"TRUMATCH 8-c5","8-c5","#bf894f"
"TRUMATCH 8-a3","8-a3","#d17a20"
"TRUMATCH 8-b3","8-b3","#d4893a"
"TRUMATCH 8-c3","8-c3","#d69855"
"TRUMATCH 8-d3","8-d3","#d8a874"
"TRUMATCH 8-e3","8-e3","#dab892"
"TRUMATCH 8-a6","8-a6","#b06922"
"TRUMATCH 8-b6","8-b6","#b27536"
"TRUMATCH 8-c6","8-c6","#b4824c"
"TRUMATCH 8-a4","8-a4","#c67421"
"TRUMATCH 8-b4","8-b4","#c98339"
"TRUMATCH 8-c4","8-c4","#cb9153"
"TRUMATCH 8-d4","8-d4","#cda06f"
"TRUMATCH 8-e4","8-e4","#ceaf8c"
"TRUMATCH 8-a7","8-a7","#a56322"
"TRUMATCH 8-b7","8-b7","#a76f35"
"TRUMATCH 8-c7","8-c7","#a97b48"
"TRUMATCH 9-a","9-a","#ffda72"
"TRUMATCH 9-b","9-b","#ffdf8b"
"TRUMATCH 9-c","9","#ffe5a0"
"TRUMATCH 9-d","9-d","#ffecb7"
"TRUMATCH 9-e","9-e","#fff1cc"
"TRUMATCH 9-f","9-f","#fff6e0"
"TRUMATCH 9-g","9-g","#fffbf1"
"TRUMATCH 9-h","9-h","#fffdf9"
"TRUMATCH 9-a1","9-a1","#f5d16e"
"TRUMATCH 9-b1","9-b1","#f5d686"
"TRUMATCH 9-c1","9-c1","#f5db9b"
"TRUMATCH 9-d1","9-d1","#f5e2b0"
"TRUMATCH 9-e1","9-e1","#f5e7c4"
"TRUMATCH 9-f1","9-f1","#f5ecd7"
"TRUMATCH 9-d5","9-d5","#c5b892"
"TRUMATCH 9-e5","9-e5","#c5bca3"
"TRUMATCH 9-a2","9-a2","#e9c76a"
"TRUMATCH 9-b2","9-b2","#e9cc81"
"TRUMATCH 9-c2","9-c2","#e9d195"
"TRUMATCH 9-d2","9-d2","#e9d7a9"
"TRUMATCH 9-e2","9-e2","#e9dcbc"
"TRUMATCH 9-a5","9-a5","#c5aa5e"
"TRUMATCH 9-b5","9-b5","#c5ae71"
"TRUMATCH 9-c5","9-c5","#c5b281"
"TRUMATCH 9-a3","9-a3","#ddbe67"
"TRUMATCH 9-b3","9-b3","#ddc27c"
"TRUMATCH 9-c3","9-c3","#ddc78e"
"TRUMATCH 9-d3","9-d3","#ddcda2"
"TRUMATCH 9-e3","9-e3","#ddd2b4"
"TRUMATCH 9-a6","9-a6","#b9a05a"
"TRUMATCH 9-b6","9-b6","#b9a46c"
"TRUMATCH 9-c6","9-c6","#b9a87b"
"TRUMATCH 9-a4","9-a4","#d1b463"
"TRUMATCH 9-b4","9-b4","#d1b977"
"TRUMATCH 9-c4","9-c4","#d1bd89"
"TRUMATCH 9-d4","9-d4","#d2c39b"
"TRUMATCH 9-e4","9-e4","#d2c7ac"
"TRUMATCH 9-a7","9-a7","#ad9756"
"TRUMATCH 9-b7","9-b7","#ad9b66"
"TRUMATCH 9-c7","9-c7","#ad9e74"
"TRUMATCH 10-a","10-a","#ffe166"
"TRUMATCH 10-b","10-b","#ffe580"
"TRUMATCH 10-c","10","#ffeb9b"
"TRUMATCH 10-d","10-d","#ffeeb2"
"TRUMATCH 10-e","10-e","#fff4ca"
"TRUMATCH 10-f","10-f","#fff7dd"
"TRUMATCH 10-g","10-g","#fffcf2"
"TRUMATCH 10-h","10-h","#fffcf7"
"TRUMATCH 10-a1","10-a1","#f7d863"
"TRUMATCH 10-b1","10-b1","#f7dc7c"
"TRUMATCH 10-c1","10-c1","#f7e196"
"TRUMATCH 10-d1","10-d1","#f6e5ac"
"TRUMATCH 10-e1","10-e1","#f6eac2"
"TRUMATCH 10-f1","10-f1","#f5edd5"
"TRUMATCH 10-d5","10-d5","#c6ba8f"
"TRUMATCH 10-e5","10-e5","#c6bea1"
"TRUMATCH 10-a2","10-a2","#eace60"
"TRUMATCH 10-b2","10-b2","#ead178"
"TRUMATCH 10-c2","10-c2","#ead690"
"TRUMATCH 10-d2","10-d2","#eadaa5"
"TRUMATCH 10-e2","10-e2","#e9dfba"
"TRUMATCH 10-a5","10-a5","#c6af56"
"TRUMATCH 10-b5","10-b5","#c6b269"
"TRUMATCH 10-c5","10-c5","#c6b77e"
"TRUMATCH 10-a3","10-a3","#dfc45d"
"TRUMATCH 10-b3","10-b3","#dec773"
"TRUMATCH 10-c3","10-c3","#decc8a"
"TRUMATCH 10-d3","10-d3","#ded09e"
"TRUMATCH 10-e3","10-e3","#ded4b2"
"TRUMATCH 10-a6","10-a6","#baa553"
"TRUMATCH 10-b6","10-b6","#baa865"
"TRUMATCH 10-c6","10-c6","#baad78"
"TRUMATCH 10-a4","10-a4","#d3ba5a"
"TRUMATCH 10-b4","10-b4","#d3bd6f"
"TRUMATCH 10-c4","10-c4","#d3c284"
"TRUMATCH 10-d4","10-d4","#d2c597"
"TRUMATCH 10-e4","10-e4","#d2caaa"
"TRUMATCH 10-a7","10-a7","#ae9b4f"
"TRUMATCH 10-b7","10-b7","#ae9e60"
"TRUMATCH 10-c7","10-c7","#aea271"
