"Plumeria Lei","LH110","#C9709E"
"Rich Leather","LB290-02","#784340"
"Clove","LM260","#A68F80"
"Tonka Bean","LM160","#654F48"
"Coffee Grounds","LL110","#57463A"
"Black Bread","LL100","#4C4235"
"Mountain Canyon","RK160","#C4B9B0"
"Staccato Mauve","LL250","#BFB1A6"
"Chocolate Almond","LM230","#928075"
"Cocoa Truffle","LM210","#7D6A5E"
"Farmer'S Tan","LC220-02","#C8AE98"
"Toasty","LC290-01","#885D47"
"Mocha Madness","LM180","#7F6050"
"Yule Log","LC290-02","#7C5641"
"Peanut Shell","LC230-02","#CCAB8C"
"Caramelized","LC250-02","#AF8D72"
"Caramel Nut","LC280-02","#86664F"
"Ancient Spice","LM170","#694A39"
"Floppy Hat","LC160-02","#E0C9B6"
"Tanner Trail","LC220-01","#DCC6B4"
"Cheetah Tan","LC230-01","#D0B9A4"
"Coffee Cake","LC250-01","#B4977F"
"Tea With Cream","LK150","#D1BBA2"
"Cardboard Box","LC240-02","#BF9974"
"Gingerbread","LD110-01","#9E7D5E"
"Leather Saddle","LD110-02","#7C644E"
"Ranch House","LK140","#CCB9A2"
"Mochatini","LL230","#BCA791"
"Gone Country","LL180","#B4A18C"
"Cowboy Hat","LL140","#918272"
"Buried In Sand","RK150","#CDC2B6"
"Sophistication","LK170","#C7BBAD"
"Cottage Stone","LL210","#B8AB9A"
"Bohemian Earth","LL130","#8F8276"
"Coffee House","LL240","#B5A79B"
"Mocha Mousse","LL190","#A99F94"
"Walnut Shell","LM220","#80756B"
"Hitching Post","LM200","#796D61"
"Dusty Road","LK160","#C9BBA7"
"Yorkshire Tan","LK130","#C2B19D"
"Iced Mocha","LL200","#B7A58F"
"Roasted Mushroom","LL160","#A08B73"
"Foggy Skies","RJ190","#DAD7CD"
"Dry Mountains","LK120","#C8BEAA"
"Khaki","LL220","#B3A997"
"Sleeping Cabin","LL150","#988874"
"Platinum Ring","RK180","#BCC1C3"
"Serving Platter","RK250","#989D9D"
"Murky Depths","RM140","#5F676C"
"Licorice Rope","RM220","#454748"
"Disco Ball","RB250-01","#A9A5AA"
"Shark","RL220","#93959B"
"Warrior","RB250-02","#838289"
"Whale Tail","RB280-02","#7C7D82"
"Natural Echo","LA250-01","#B9B0AE"
"Forlorn","RL200","#938A88"
"Roasted Beet","RA100-01","#685860"
