"EN-95","en-95","#f9faf8"
"E 76-60P","e-76-60p","#7f9dcf"
"E 76-50L","e-76-50l","#6a7da5"
"E 77-50L","e-77-50l","#717da6"
"E 77-40L","e-77-40l","#525e88"
"E 77-20L","e-77-20l","#1d2e55"
"E 77-70D","e-77-70d","#b1b3be"
"E 77-70H","e-77-70h","#aab2cb"
"E 77-60P","e-77-60p","#8b9bd0"
"E 79-70L","e-79-70l","#afafd7"
"E 82-50H","e-82-50h","#827a96"
"E 85-50L","e-85-50l","#8579a2"
"E 85-30B","e-85-30b","#463f47"
"E 85-20B","e-85-20b","#1c1a23"
"E 85-92B","e-85-92b","#f0eef0"
"E 85-90A","e-85-90a","#eae8e8"
"E 85-85A","e-85-85a","#dfdddd"
"E 85-80A","e-85-80a","#cfcdcf"
"E 85-75A","e-85-75a","#c1bec0"
"E 85-70A","e-85-70a","#b2b0b2"
"E 85-65A","e-85-65a","#a8a5a7"
"E 85-40B","e-85-40b","#635e66"
"E 85-90B","e-85-90b","#eae7e9"
"E 85-85B","e-85-85b","#dedcdf"
"E 85-80B","e-85-80b","#cfcdd1"
"E 85-70B","e-85-70b","#b6b2b6"
"E 85-60B","e-85-60b","#989399"
"E 85-50B","e-85-50b","#7c777d"
"E 85-40D","e-85-40d","#645b6b"
"E 85-30D","e-85-30d","#483c4c"
"E 85-90D","e-85-90d","#efebf0"
"E 85-80D","e-85-80d","#cdc8d1"
"E 85-70D","e-85-70d","#b5aeb9"
"E 85-70H","e-85-70h","#b9acc4"
"E 85-60H","e-85-60h","#9e91aa"
"E 85-60D","e-85-60d","#9a94a1"
"E 85-50D","e-85-50d","#827985"
"E 85-20D","e-85-20d","#261b2f"
"E 85-80H","e-85-80h","#d2c7dc"
"E 85-70L","e-85-70l","#bda9d1"
"E 85-50P","e-85-50p","#9171a6"
"E 85-40L","e-85-40l","#705a83"
"E 87-60H","e-87-60h","#a68fa6"
"E 87-40H","e-87-40h","#705873"
"E 87-30H","e-87-30h","#533759"
"E 89-30H","e-89-30h","#553550"
"E 89-70H","e-89-70h","#c6abbe"
"E 92-80H","e-92-80h","#dec3d0"
"E 95-70B","e-95-70b","#b8b1b2"
"E 95-60B","e-95-60b","#9d9395"
"E 95-50B","e-95-50b","#827779"
"E 95-40B","e-95-40b","#685c5f"
"E 95-30B","e-95-30b","#4a3e40"
"E 95-20B","e-95-20b","#271c21"
"E 95-90A","e-95-90a","#efeae8"
"E 95-85A","e-95-85a","#dddad9"
"E 95-80A","e-95-80a","#d3cdcd"
"E 95-80B","e-95-80b","#d1c9ca"
"E 95-75A","e-95-75a","#c3bebe"
"E 95-70A","e-95-70a","#b6b1b1"
"E 95-30D","e-95-30d","#523b43"
"E 95-20D","e-95-20d","#2e1927"
"E 95-90B","e-95-90b","#ebe4e4"
"E 95-85B","e-95-85b","#e0d8d8"
"E 95-80D","e-95-80d","#d7c9cb"
"E 95-70D","e-95-70d","#beaeb3"
"E 95-60D","e-95-60d","#a59397"
"E 95-50D","e-95-50d","#867479"
"E 95-40D","e-95-40d","#6d585e"
"E 95-30H","e-95-30h","#5c3246"
"E 95-90D","e-95-90d","#f1e2e5"
"E 95-70H","e-95-70h","#c5a3ae"
"E 95-70L","e-95-70l","#daa4b7"
"E 95-60P","e-95-60p","#c67f9a"
"E 95-50H","e-95-50h","#946f7b"
"E 97-70P","e-97-70p","#e89bac"
"E 99-60H","e-99-60h","#b58c91"
"E 99-40H","e-99-40h","#7e525a"
"E 99-80B","e-99-80b","#d2c9c8"
"E 99-70D","e-99-70d","#bca9aa"
"E 99-70H","e-99-70h","#d0a7ac"
"E 99-70L","e-99-70l","#dfa2a9"
"E 05-50V","e-05-50v","#c7474b"
"E 05-40V","e-05-40v","#ac222e"
"E 05-40X","e-05-40x","#af0821"
"E 05-30T","e-05-30t","#880018"
"E 07-40X","e-07-40x","#b31416"
"E 09-50X","e-09-50x","#cc4606"
"E 12-50V","e-12-50v","#c55705"
"E 12-60X","e-12-60x","#e46900"
"E 15-60V","e-15-60v","#dd7914"
"E 15-65X","e-15-65x","#f27e00"
"E 15-70V","e-15-70v","#f48d2b"
"E 17-70X","e-17-70x","#e78f00"
"E 19-75X","e-19-75x","#f5a300"
"E 19-70V","e-19-70v","#e79800"
"E 19-60T","e-19-60t","#c48300"
"E 22-70V","e-22-70v","#dda200"
"E 22-80V","e-22-80v","#f2b600"
"E 22-80X","e-22-80x","#f6b000"
"E 25-80W","e-25-80w","#f3c900"
"E 25-70T","e-25-70t","#d0a500"
"E 27-80T","e-27-80t","#dec222"
"E 29-85P","e-29-85p","#e0d659"
"E 29-80V","e-29-80v","#dece00"
"E 29-70T","e-29-70t","#bfae00"
"E 32-70T","e-32-70t","#b4b512"
"E 35-80T","e-35-80t","#bdd642"
"E 35-70V","e-35-70v","#a0b800"
"E 37-60T","e-37-60t","#729c21"
"E 39-60V","e-39-60v","#3ea62a"
"E 39-40L","e-39-40l","#39652b"
"E 39-40P","e-39-40p","#316a15"
"E 45-40P","e-45-40p","#006c3f"
"E 45-50T","e-45-50t","#008f5c"
"E 45-70P","e-45-70p","#60c292"
"E 49-60P","e-49-60p","#35a889"
"E 49-40T","e-49-40t","#007556"
"E 52-50P","e-52-50p","#00917a"
"E 55-40P","e-55-40p","#007366"
