"Flat","flat","#aaafb4"
"KM39652 Head for the Beach","km39652-head-for-the-beach","#b1ac94"
"KM39663 Sandalwood Tan","km39663-sandalwood-tan","#9a947d"
"KM39673 Manchester Mood","km39673-manchester-mood","#89846d"
"KM39685 Woven Willow","km39685-woven-willow","#766f56"
"KM39691 Campiello","km39691-campiello","#f4efe3"
"KM39701 Meadow Day","km39701-meadow-day","#eae3d5"
"KM39711 Bleached Burl","km39711-bleached-burl","#dfd7c9"
"KM39722 Earth Stone","km39722-earth-stone","#d1c6b3"
"KM39732 Westover Hills","km39732-westover-hills","#bcae97"
"KM39743 Highland Grass","km39743-highland-grass","#9f917b"
"KM39753 African Plain","km39753-african-plain","#93846e"
"KM39765 Olive Grove","km39765-olive-grove","#6b5f4e"
"KM39771 Dover Tint","km39771-dover-tint","#f8efdb"
"KM39781 Barely Dawn","km39781-barely-dawn","#f1e6d0"
"KM39791 Dustry Trail","km39791-dustry-trail","#dfcfae"
"KM39802 Western Wear","km39802-western-wear","#dcc9a3"
"KM39812 Happy Camper","km39812-happy-camper","#c8b48b"
"KM39823 Barefoot Beach","km39823-barefoot-beach","#b49e71"
"KM39833 Sandhurst","km39833-sandhurst","#aa956a"
"KM39845 Brown Mountain","km39845-brown-mountain","#8e7851"
"KM39851 Cottage White","km39851-cottage-white","#f5ecda"
"KM39861 Cotton Lace","km39861-cotton-lace","#ece3cf"
"KM39871 Tropical Straw","km39871-tropical-straw","#dfd1b7"
"KM39882 Pale Portabella","km39882-pale-portabella","#deccab"
"KM39892 Serengeti Safari","km39892-serengeti-safari","#c5b18e"
"KM39903 Soft Moccasin","km39903-soft-moccasin","#b8a17a"
"KM39913 Woodriff","km39913-woodriff","#a9916b"
"KM39925 Cozy Cabin","km39925-cozy-cabin","#846f4f"
"KM39931 Cloud of Cream","km39931-cloud-of-cream","#f8edd3"
"KM39941 Aged Parchment","km39941-aged-parchment","#f3e2c6"
"KM39951 Skin Light","km39951-skin-light","#e9d2ae"
"KM39962 Ferncliffe","km39962-ferncliffe","#e9cba1"
"KM39972 Balsam Brown","km39972-balsam-brown","#d4b286"
"KM39983 Sheer Exposure","km39983-sheer-exposure","#c39f6f"
"KM39993 Flax Seed","km39993-flax-seed","#b69164"
"KM40005 Golden Mist","km40005-golden-mist","#95734c"
"KM40011 Glazed Ginger","km40011-glazed-ginger","#f1e4d1"
"KM40021 Limestone Ridge","km40021-limestone-ridge","#eadac4"
"KM40031 Simply Tan","km40031-simply-tan","#e1ceb5"
"KM40042 Star of the Garden","km40042-star-of-the-garden","#dcc8ab"
"KM40052 Victorian Gold","km40052-victorian-gold","#c6ad8b"
"KM40063 Gold Promise","km40063-gold-promise","#b79c7a"
"KM40073 Mexican Hills","km40073-mexican-hills","#a58a69"
"KM40085 Royal Crown","km40085-royal-crown","#8f7252"
"KM40091 San Pedro","km40091-san-pedro","#f3e3d1"
"KM40101 Stilwell Beige","km40101-stilwell-beige","#e9d7c1"
"KM40111 Timothy Tan","km40111-timothy-tan","#dfc9b1"
"KM40122 Washed Khaki","km40122-washed-khaki","#dcc0a4"
"KM40132 Bernard Beach","km40132-bernard-beach","#c9ac8e"
"KM40143 Tumble Tan","km40143-tumble-tan","#b39575"
"KM40153 Caramel Mountain","km40153-caramel-mountain","#a38364"
"KM40165 Carmel Candy","km40165-carmel-candy","#8e6f53"
"KM40171 Whisper of White","km40171-whisper-of-white","#ede0d2"
"KM40181 Tender Tan","km40181-tender-tan","#e5d5c6"
"KM40191 Heritage Hills","km40191-heritage-hills","#d9c7b7"
"KM40201 Palomino Pony","km40201-palomino-pony","#d1beac"
"KM40212 Swiss Cream","km40212-swiss-cream","#ccb5a0"
"KM40222 Cushy Suede","km40222-cushy-suede","#b09882"
"KM40233 Dig It","km40233-dig-it","#8d7460"
"KM40245 Latte Please","km40245-latte-please","#79614f"
"KM40251 Navarro","km40251-navarro","#f9e9d6"
"KM40261 Julesberg","km40261-julesberg","#f4e0ca"
"KM40271 Palace Hill","km40271-palace-hill","#eed4bb"
"KM40281 Legato Lane","km40281-legato-lane","#e9cdb1"
"KM40292 Rabbit Warren","km40292-rabbit-warren","#e6c5a3"
"KM40302 Supreme Bean","km40302-supreme-bean","#d2ad89"
"KM40313 African Desert","km40313-african-desert","#b18563"
"KM40325 Fallen Leaf","km40325-fallen-leaf","#9a7152"
"KM40331 Santa Fe Cream","km40331-santa-fe-cream","#f6e8d9"
"KM40341 Dune Walk","km40341-dune-walk","#e8d4c2"
"KM40351 Regina Beach","km40351-regina-beach","#e6cdb7"
"KM40362 Tuscan Tan","km40362-tuscan-tan","#dabda2"
"KM40372 Earthy Tan","km40372-earthy-tan","#c9a88c"
"KM40383 Rustic Charm","km40383-rustic-charm","#b59073"
"KM40393 Wildwood Bay","km40393-wildwood-bay","#a47f63"
"KM40405 Pinecone Path","km40405-pinecone-path","#82634d"
"KM40411 Bare Bone","km40411-bare-bone","#f5e5d7"
"KM40421 Baked Biscuit","km40421-baked-biscuit","#e7d2c1"
"KM40431 Sandunia","km40431-sandunia","#dec3b0"
"KM40442 Soh Buckskin","km40442-soh-buckskin","#d6baa4"
"KM40452 Country Life","km40452-country-life","#bd9d86"
"KM40463 Benetello","km40463-benetello","#a78670"
"KM40473 Burnished Caramel","km40473-burnished-caramel","#9e7b65"
"KM40485 Mochaccino","km40485-mochaccino","#886753"
"KM40491 Bare Essential","km40491-bare-essential","#f8ebe0"
"KM40501 Fair Ivory","km40501-fair-ivory","#edd7c7"
"KM40511 Big on Beige","km40511-big-on-beige","#dcc1ae"
"KM40522 Derbyshire","km40522-derbyshire","#d4b6a1"
"KM40532 Sandys Shores","km40532-sandys-shores","#be9a84"
"KM40543 Carmel Valley","km40543-carmel-valley","#ab8771"
"KM40553 Maple Sugar","km40553-maple-sugar","#9b7661"
"KM40565 Western Pursuit","km40565-western-pursuit","#7c5c4a"
"KM40571 Crystal Beach","km40571-crystal-beach","#fbebdc"
"KM40581 Beach Walk","km40581-beach-walk","#f4d9c4"
"KM40591 Taffy Surprise","km40591-taffy-surprise","#f0ceb6"
"KM40601 Beachville","km40601-beachville","#eac7ac"
"KM40612 Fresh Sawdust","km40612-fresh-sawdust","#e5bc9c"
"KM40622 Vizcaino Desert","km40622-vizcaino-desert","#d2a280"
"KM40633 Chamois Shirt","km40633-chamois-shirt","#b57e5e"
"KM40645 Worrior King","km40645-worrior-king","#9c694c"
"KM40651 Moongaze","km40651-moongaze","#f7e5d7"
"KM40661 Sunwashed Beach","km40661-sunwashed-beach","#f2dccc"
"KM40671 Face of Innocence","km40671-face-of-innocence","#e0bea8"
"KM40682 Beauty and the Beach","km40682-beauty-and-the-beach","#d9b69e"
"KM40692 Southwest Sand","km40692-southwest-sand","#caa38c"
"KM40703 Brighton Beach","km40703-brighton-beach","#b98c74"
"KM40713 Terrific Tan","km40713-terrific-tan","#a77a64"
"KM40725 Soul of the Earth","km40725-soul-of-the-earth","#76564a"
"KM40731 Mariah","km40731-mariah","#fbe0d3"
"KM40741 Tangier Tan","km40741-tangier-tan","#f1cdbf"
"KM40751 Dougs Dale","km40751-dougs-dale","#ebc2b1"
"KM40761 Ancient Inca","km40761-ancient-inca","#e2b7a6"
