"Krautol Smaragdgruen 18","krautol-smaragdgruen-18","#d0e4ca"
"Krautol Stahlblau 11","krautol-stahlblau-11","#427081"
"Krautol Stahlblau 12","krautol-stahlblau-12","#4e8597"
"Krautol Stahlblau 13","krautol-stahlblau-13","#679cad"
"Krautol Stahlblau 14","krautol-stahlblau-14","#7fafbe"
"Krautol Stahlblau 15","krautol-stahlblau-15","#97c1cd"
"Krautol Stahlblau 16","krautol-stahlblau-16","#b2d4dc"
"Krautol Stahlblau 17","krautol-stahlblau-17","#bbd6db"
"Krautol Stahlblau 18","krautol-stahlblau-18","#cfe3e3"
"Krautol Stella 11","krautol-stella-11","#856d62"
"Krautol Stella 12","krautol-stella-12","#998279"
"Krautol Stella 13","krautol-stella-13","#b09b92"
"Krautol Stella 14","krautol-stella-14","#bcaca3"
"Krautol Stella 15","krautol-stella-15","#cabeb5"
"Krautol Stella 16","krautol-stella-16","#dacfc5"
"Krautol Stella 17","krautol-stella-17","#e1d9cf"
"Krautol Stella 18","krautol-stella-18","#e9e5dc"
"Krautol Sunset 11","krautol-sunset-11","#815e50"
"Krautol Sunset 12","krautol-sunset-12","#8f6f63"
"Krautol Sunset 13","krautol-sunset-13","#a38578"
"Krautol Sunset 14","krautol-sunset-14","#b39789"
"Krautol Sunset 15","krautol-sunset-15","#c5aca1"
"Krautol Sunset 16","krautol-sunset-16","#cfbdb1"
"Krautol Sunset 17","krautol-sunset-17","#dacdc1"
"Krautol Sunset 18","krautol-sunset-18","#e2d7cf"
"Krautol Terracotta 11","krautol-terracotta-11","#c58048"
"Krautol Terracotta 12","krautol-terracotta-12","#d4925b"
"Krautol Terracotta 13","krautol-terracotta-13","#d9a373"
"Krautol Terracotta 14","krautol-terracotta-14","#e7b68a"
"Krautol Terracotta 15","krautol-terracotta-15","#e8c29c"
"Krautol Terracotta 16","krautol-terracotta-16","#e9ccab"
"Krautol Terracotta 17","krautol-terracotta-17","#f1dabe"
"Krautol Terracotta 18","krautol-terracotta-18","#f3e4cd"
"Krautol Traubenrot 11","krautol-traubenrot-11","#855651"
"Krautol Traubenrot 12","krautol-traubenrot-12","#966866"
"Krautol Traubenrot 13","krautol-traubenrot-13","#aa7c7b"
"Krautol Traubenrot 14","krautol-traubenrot-14","#b7908d"
"Krautol Traubenrot 15","krautol-traubenrot-15","#c9a4a3"
"Krautol Traubenrot 16","krautol-traubenrot-16","#d3b5b1"
"Krautol Traubenrot 17","krautol-traubenrot-17","#d9c1bc"
"Krautol Traubenrot 18","krautol-traubenrot-18","#e4d5cf"
"Krautol Zeder 11","krautol-zeder-11","#5c7262"
"Krautol Zeder 12","krautol-zeder-12","#6d8673"
"Krautol Zeder 13","krautol-zeder-13","#839d8c"
"Krautol Zeder 14","krautol-zeder-14","#97b0a1"
"Krautol Zeder 15","krautol-zeder-15","#abbfb0"
"Krautol Zeder 16","krautol-zeder-16","#bccec2"
"Krautol Zeder 17","krautol-zeder-17","#c8d7cd"
"Krautol Zeder 18","krautol-zeder-18","#dae3d8"
