"Soleil","1093-2","#f0e5c7"
"Hearth","1093-3","#e1cca6"
"Somber","1093-4","#cbb489"
"Antiquity","1093-5","#c1a87c"
"Tangled Twine","1093-6","#b19466"
"Tattle Tan","1093-7","#a48454"
"Irresistible","1094-1","#e6ddc6"
"Loofah","1094-2","#e3d3b5"
"Birch Beige","1094-3","#d9c3a1"
"Crepe","1094-4","#d4bc94"
"Golden Granola","1094-5","#b8996b"
"Imagine","1094-6","#af9468"
"Molasses Cookie","1094-7","#8b714b"
"Parchment Paper","1095-1","#f1e8d8"
"Glazed Pears","1095-2","#efe3d2"
"Almond Brittle","1095-3","#e5d3b9"
"Golden Ecru","1095-4","#d8c39f"
"Applesauce Cake","1095-5","#c2a377"
"Chicory","1095-6","#a78658"
"Shaker Peg","1095-7","#886a3f"
"Instant Relief","1096-1","#ede7d2"
